"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"NR5A1 (mouse)",0.0136331176635619,1.32992943129929,5.71238381050731,"['FANK1', 'MESP1', 'KCNK7', 'CDKN1A', 'SUV39H1', 'PHF23', 'MRPS12', 'MRPL34', 'CNDP2', 'TOMM22', 'UBL5', 'KBTBD12', 'GRM4', 'SPR', 'RPL36AL', 'STBD1', 'TIMM17B', 'TMSB10', 'CHRNB2', 'JAGN1', 'DUSP3', 'WSB2', 'RPS8', 'PGAM1', 'SLC39A11', 'THEMIS', 'AIP', 'SLC30A1', 'DUSP26', 'FNDC4', 'EVC', 'IL1RAPL2', 'FSHR', 'SDHAF1', 'ATP6V0C', 'SKAP1', 'PDZRN4', 'OTUB1', 'SET', 'RPS19BP1', 'RGS14', 'ARHGAP18', 'CRIP2', 'UQCR11', 'PHB', 'ZDHHC22', 'ART3', 'ACAN', 'PDLIM2', 'SPOCK1', 'ST8SIA6', 'SCN3B', 'CCT7', 'ATP6V1D', 'BCL2L14', 'TOE1', 'KCNF1', 'NDUFA8', 'FIS1', 'XBP1', 'GABBR1', 'PMM1', 'PSPN', 'MDH2', 'P2RY14', 'CEP152', 'IRF2BP1', 'ESRRG', 'MCC', 'NR4A1', 'PYY', 'LSM7', 'AGBL1', 'NSG2', 'STAR', 'NACA', 'FAM131B', 'CYCS', 'FXYD6', 'FARSA', 'RPS21', 'TOMM5', 'GRINA']",0.999992835536386,0,0,83,"NR5A1",0.999992835536386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2A (mouse)",0.0163655578500405,1.24110570943654,5.10414190608766,"['RPL30', 'RAB3A', 'RPL32', 'UPK2', 'CD81', 'FRMPD1', 'GDE1', 'XYLT1', 'STMN4', 'FGF1', 'ELK1', 'HDDC3', 'RPL6', 'CHCHD4', 'GRIP1', 'ARFIP2', 'RPL35', 'NUDT16', 'SLC39A7', 'RPS10', 'TSPYL1', 'USP5', 'PRKCD', 'DIO1', 'ATG9A', 'SLC30A1', 'GABRG3', 'DOK3', 'CCNE2', 'SUB1', 'SLCO2A1', 'TMEM126A', 'S100A6', 'ROR1', 'ERH', 'VDAC1', 'DNA2', 'ATP6V0D1', 'PHPT1', 'LY6E', 'CUTA', 'SET', 'LXN', 'PEF1', 'ARHGAP18', 'MRPL14', 'THY1', 'SEZ6L2', 'NDRG1', 'GABARAP', 'ARHGAP22', 'HSD11B2', 'PRDX5', 'ITPRIPL1', 'SCN3B', 'RAB6B', 'KLHDC3', 'ANKRD34A', 'FIS1', 'ARHGEF38', 'HMGA1', 'NSG1', 'DNAJC14', 'L1CAM', 'SLC2A9', 'ATP4A', 'H1F0', 'LSM7', 'PPP1R1A', 'KLHDC8A', 'P4HA3', 'NFKBIE', 'MUC20', 'ARF3', 'COL18A1', 'SRPX', 'CUEDC2', 'FLT3', 'YWHAB', 'C1QTNF4', 'FCRLB', 'CYP26B1', 'FUNDC1', 'TIMP2', 'HORMAD1', 'DUSP2', 'TRPC5', 'HSP90AA1', 'TPI1', 'TRPC6', 'DYNLT3', 'MAMDC2', 'ABHD14A', 'IL17RE', 'ANO2', 'DUSP23', 'VGF', 'ALDOA', 'SLU7', 'MATN4', 'PCYOX1', 'SAMD5', 'AHCY', 'RNASEK', 'DCTN1', 'MRPS34', 'SLC3A1', 'UQCR11', 'PRELP', 'ZDHHC22', 'CCDC106', 'AKAP5', 'AGPAT1', 'PSMB10', 'PDC', 'GNG3', 'RBM15B', 'PARD6A', 'PDLIM2', 'PALMD', 'DNAJB5', 'CREG2', 'ATP6V0E2', 'CDIPT', 'MEF2D', 'POLR2L', 'BCAP31', 'MDH2', 'TTC9B', 'PNMA2', 'HS3ST2', 'FRAS1', 'AGBL1', 'STUB1', 'CRLF1']",0.999992835536386,0,0,135,"TFAP2A",0.999992835536386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFIA (human)",0.0375792696967096,1.21045449052254,3.97186761035078,"['HDDC2', 'TUSC2', 'ELK1', 'CLU', 'TDO2', 'ARL6IP5', 'ARL6IP4', 'SLC39A1', 'C11ORF68', 'VPS18', 'OMD', 'PRKCD', 'ACSL5', 'KAZN', 'ANK1', 'RBP5', 'DOK3', 'TMEM126A', 'MYADM', 'CTXN3', 'FKBP5', 'MAGEL2', 'RPS19BP1', 'EIF5A2', 'TSHZ2', 'MRPL14', 'THY1', 'MCHR1', 'CCDC144A', 'OTOA', 'FADD', 'RAB6B', 'SERF2', 'PLXNA4', 'SPECC1', 'PRELID1', 'GPR12', 'CHCHD10', 'BTBD11', 'TDRD5', 'EIF1', 'DRAP1', 'SLC2A9', 'ANKRD20A4', 'NFE2L3', 'RNF182', 'PYDC1', 'DNAL4', 'ITM2C', 'PIGS', 'SRPX', 'MESP1', 'KCNK7', 'UBXN1', 'LRRC10B', 'YWHAB', 'DIRAS2', 'MRPL34', 'PPCDC', 'HERPUD1', 'NGRN', 'MAP1LC3A', 'PTER', 'CAMKV', 'GUK1', 'TMSB4X', 'GSG1', 'PMEPA1', 'TIMM17B', 'SH3BGRL3', 'GPR135', 'TPI1', 'SSR4', 'FAAH2', 'NRG1', 'SSTR3', 'PGM2L1', 'RAB33A', 'EEF1G', 'TFDP2', 'SLC7A9', 'IL1RAPL2', 'FSHR', 'CDHR3', 'ALDOA', 'DSCAML1', 'ANGPTL1', 'ZNF593', 'DCTN3', 'NDUFB2', 'OPRL1', 'HSD17B13', 'CRIP2', 'SNX31', 'PHYHIP', 'FSTL5', 'CXORF40A', 'EXOSC4', 'PDLIM2', 'PNMA1', 'ALDH1B1', 'NNAT', 'NHS', 'CD59', 'BEND7', 'SPRYD3', 'KCNJ9', 'P2RY14', 'CEP152', 'PRAF2', 'PCDH8', 'RPL23A', 'GCK', 'SOD1', 'MAS1', 'NECAP1', 'TEF', 'CENPJ', 'CBLN4']",0.999992835536386,0,0,119,"NFIA",0.999992835536386,1.37680442098661e-06,0.00153531911872377,0.962579391712618,0.962593783536941,-0.136496411284586,0.0952812092234465,0.496036321297571,0.386800024034188,0.88662943890387,NA,0.30284320966802
"Arnt::Ahr (mouse)",0.0376569989394732,1.63868587241893,5.37363843835741,"['OXTR', 'RBM47', 'EGR3', 'GTF3C6', 'PRDM6', 'ZFAND5', 'FRMD4A', 'HPS6', 'CCDC106', 'NSG1', 'DEXI', 'RHD', 'TNFSF13B', 'IL1RAPL2', 'ORMDL3', 'TCEA3', 'TIMP2', 'MS4A13', 'STUB1', 'ALDOA']",0.999992835536386,0,0,20,"Arnt::Ahr",0.999992835536386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HMGA1 (human)",0.0450317061282981,1.20914716299183,3.74882590657131,"['SCOC', 'TMEM167A', 'GHITM', 'ELK1', 'CDH7', 'IFIT2', 'RGS4', 'GRIP1', 'GPR171', 'CHAC2', 'PIP4K2C', 'ENPP6', 'ROS1', 'CHGB', 'CUBN', 'RPL23', 'MITF', 'MID2', 'DKK3', 'ARGFX', 'DPM3', 'SLC9A9', 'CTXN3', 'RPL29', 'SKAP1', 'CHODL', 'CUTA', 'GPR88', 'GLYAT', 'FHIT', 'RTN4', 'HSD11B1', 'TGOLN2', 'SNTG1', 'SLC19A3', 'BCL2L14', 'MGAM', 'RPL41', 'MAGEE1', 'CNTN6', 'RANBP17', 'MAD2L1BP', 'BTBD11', 'ESRRG', 'ZFHX4', 'HOPX', 'HIGD2A', 'TNFSF4', 'UST', 'NOX4', 'MUC20', 'NOP10', 'PCDHB7', 'BEX5', 'CNTNAP3', 'CUEDC2', 'SLC35F3', 'PZP', 'C12ORF40', 'C1QTNF7', 'RFK', 'GSG1', 'TIMM17A', 'VAV3', 'CDV3', 'JAGN1', 'TRPC6', 'MAMDC2', 'ETV1', 'ABCC9', 'SSTR1', 'COPZ1', 'ACTA2', 'HAX1', 'ANGPTL5', 'SLU7', 'SLC25A6', 'RBMS3', 'GSTP1', 'ASAP3', 'TMEM160', 'MAT2B', 'AGPAT1', 'RNF5', 'TCEAL8', 'TCEAL6', 'SLITRK1', 'RPRML', 'FILIP1L', 'RPL17', 'CORIN', 'P2RY12', 'CRYGS', 'GALNT6', 'TIMM8A', 'NDUFA5', 'CDKN2A', 'KCNJ13', 'LSAMP', 'KRT10', 'COX6C', 'SGCZ', 'MGAT4C', 'RIT2', 'FAP', 'DLC1', 'VWC2', 'ANKS4B', 'OTUD1']",0.999992835536386,0,0,109,"HMGA1",0.999992835536386,1.77453033937392e-38,1.50841560582272e-21,0.703547687903703,0.703906256491091,-0.01663130213456,3.94146757241667e-05,0.0752498837334614,0.774370235994991,0.770672019219413,NA,0.99499746690473
"SREBF2 (human)",0.0453317465213151,1.19727098059358,3.70405432540679,"['NDUFA11', 'ARHGDIG', 'STMN3', 'MSI2', 'EPX', 'FGF1', 'RPL9', 'ELK1', 'RPS14', 'CAPNS1', 'NUDT18', 'AP1S1', 'ARFIP2', 'RPL38', 'PIP4K2C', 'ROS1', 'ENDOG', 'USP5', 'IGFBP4', 'RPL22', 'TINF2', 'THEMIS', 'POU3F1', 'GPANK1', 'SCO2', 'DDIT3', 'GRWD1', 'FSCN1', 'CTXN1', 'VPS25', 'SKAP1', 'FTL', 'LRPAP1', 'A1BG', 'RTN4', 'ARL17B', 'LDHA', 'NKAIN3', 'C6ORF99', 'ZNF703', 'UBC', 'SLC19A3', 'SURF6', 'FADD', 'KCNF1', 'OST4', 'HSPA8', 'EGR3', 'RASL10A', 'SLC10A1', 'C20ORF27', 'MAD2L1BP', 'TBCC', 'MCC', 'PPP1R1A', 'PPT1', 'CALR', 'NFKBIE', 'MUC20', 'NOP10', 'COL18A1', 'CUEDC2', 'WDR1', 'SLC35F3', 'PTMS', 'HEBP2', 'SPRED2', 'RASGEF1C', 'C9ORF16', 'NEFL', 'ACP2', 'AASS', 'HSBP1', 'SLC39A11', 'RPL13A', 'FOS', 'C4ORF48', 'ARL4D', 'BACE2', 'MBLAC1', 'HAX1', 'TUBB2A', 'VGF', 'TFDP2', 'CATSPERG', 'AHRR', 'CASQ1', 'SYNC', 'GAPDH', 'SLC25A6', 'CD63', 'CSTB', 'RPL12', 'UQCR10', 'LAGE3', 'PHYHIP', 'DLL3', 'DDN', 'PSMB6', 'PURB', 'CXORF40A', 'POLD4', 'PDLIM2', 'DHRSX', 'DNAJB5', 'C10ORF95', 'DDT', 'TP53I11', 'P2RY12', 'NDUFA7', 'NPM1', 'PPIL1', 'SERPIND1', 'KCNJ13', 'PRAF2', 'PNMA5', 'SOD1', 'DNAJA1', 'DBNDD2', 'LPCAT2', 'RAN']",0.999992835536386,0,0,121,"SREBF2",0.999992835536386,3.3325195137075e-05,0.0212249850213623,NA,NA,NA,0.407599772686831,0.577409386680589,0.594932408980798,0.638697886232213,NA,0.63385050585134
"NR4A2 (human)",0.0498645472158508,2.08544038346315,6.25307830179001,"['HCP5', 'CETN2', 'NEU1', 'EIF4H', 'MANEAL', 'C1QL2', 'HCRTR2', 'HLA-DQB1', 'LSM2']",0.999992835536386,0,0,9,"NR4A2",0.999992835536386,8.22171152730547e-07,4.30680308680487e-05,0.912916967293001,0.912778058140009,0.0165990800493725,0.0238297153792863,0.0632905353796364,NA,NA,NA,NA
"TLX1::NFIC (human)",0.0533778940631537,2.89400278940028,8.48046592639827,"['HCP5', 'RPL7A', 'SSR4', 'NEU1', 'LSM2']",0.999992835536386,0,0,5,"TLX1::NFIC",0.999992835536386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETV4 (human)",0.0544081681161708,1.18852048334807,3.46006954524631,"['SEMA5A', 'HDDC2', 'GMFB', 'CIB1', 'ZBTB22', 'ENO1', 'CDH7', 'CNDP2', 'RGS4', 'TMEM147', 'BANF1', 'RPL38', 'AP2M1', 'DSCAM', 'SLC35C1', 'SLC30A1', 'FNDC4', 'PRKAR1A', 'KCNQ3', 'MYADM', 'KCTD15', 'ISCU', 'FKBP5', 'NDUFB10', 'PEF1', 'MEPCE', 'ARHGAP18', 'SEZ6L2', 'RTN4', 'ABO', 'ACMSD', 'KCNV1', 'SNTG1', 'PDGFD', 'EGR1', 'CDK18', 'GOT1', 'SLC10A1', 'LY86', 'HMGA1', 'ESRRG', 'SSC5D', 'DNAJC14', 'FIBP', 'FAM135B', 'BFSP2', 'REEP5', 'FAM163B', 'BHLHE40', 'CALR', 'EIF4G2', 'NRP1', 'COL18A1', 'MAGEF1', 'GRIK3', 'AFF3', 'MEOX2', 'PCSK5', 'FCRLB', 'SPRED2', 'GRM4', 'SPR', 'CAMKV', 'SUMO2', 'SH3BGRL3', 'MRPL9', 'C16ORF74', 'SLC18A2', 'CDV3', 'DUSP2', 'MAMDC2', 'NRG1', 'DYNLL2', 'EPN3', 'EEF1G', 'MBLAC1', 'HAX1', 'VGF', 'RHOV', 'PLCB2', 'PFDN5', 'MYH7', 'ZNF593', 'NDUFB5', 'DCTN3', 'AMIGO2', 'PKD1L1', 'KIAA1211', 'TIMM10', 'ATP1A1', 'JAKMIP1', 'ZNF69', 'PHYHIP', 'COCH', 'RHD', 'CXORF40A', 'POLD4', 'GNG3', 'CCDC85B', 'CAMK2N1', 'ZNF747', 'CD59', 'RPRML', 'CSMD2', 'CDIPT', 'AAMP', 'KCNJ2', 'POLR2L', 'CDKN2C', 'RPL35A', 'CCK', 'SGCZ', 'ATOX1', 'GCK', 'NAP1L5', 'DBNDD2', 'PMFBP1', 'CDK5R2']",0.999992835536386,0,0,118,"ETV4",0.999992835536386,1.62709142458802e-06,5.67783109161382e-08,0.652682491089264,0.651497012715713,0.289474612371576,0.0743222512298806,0.226263795227686,NA,NA,NA,NA
"HNF4A (mouse)",0.0595402685416695,1.34641987688702,3.79838836377408,"['CNTNAP2', 'COL18A1', 'CUEDC2', 'ITIH2', 'TMEM183A', 'CLSTN2', 'FAM89B', 'FMN1', 'RPL10A', 'AFF3', 'HSPA13', 'PDC', 'CISD3', 'ACMSD', 'NEUROD1', 'KBTBD12', 'KCNV1', 'SEC61G', 'CHCHD1', 'CNTLN', 'COX8A', 'CUBN', 'FIS1', 'ENDOG', 'SSR4', 'KCNJ11', 'HSBP1', 'SLC10A1', 'LGI3', 'DIO1', 'SSTR1', 'LRP1B', 'RPS26', 'FAM135B', 'AHRR', 'MAFK', 'KLKB1', 'CRLF1', 'SCN2B']",0.999992835536386,0,0,39,"HNF4A",0.999992835536386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
