Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-301b-3p,3.135728610370206e-10,2.241889175997703,49.05923700989525,"['RB1', 'FRMPD4', 'CEP120', 'SOGA3', 'ZDHHC8', 'MPRIP', 'EPC2', 'LGALS8', 'SCAPER', 'GTF2I', 'MAP3K5', 'KDM2A', 'FNBP1', 'ADAM10', 'FRMD4A', 'SHTN1', 'XRN1', 'HECW2', 'PFN2', 'YTHDC2', 'APCDD1', 'FOXO3', 'ARHGAP21', 'TMEM245', 'DPP6', 'INPP5E', 'ZKSCAN8', 'ABL2', 'TBC1D12', 'DRD1', 'ASIC2', 'HMGCLL1', 'MYH10', 'KIAA0319', 'N4BP1', 'MFAP3L', 'NAA50', 'ABCA1', 'ANKRD26', 'CEP112', 'PPP1R21', 'ARHGAP29', 'BTBD7', 'GRIN2B', 'CCDC88A', 'GRIN3A', 'SP1', 'CNTN3', 'TMCC1', 'FERMT2', 'CPEB4', 'PICALM', 'PHF3', 'TENM3', 'SLC35F3', 'AFF4', 'WDR44', 'AUH', 'RASGEF1A', 'PPP6R3', 'PSD3', 'TNPO1', 'RALGPS1', 'SH3D19', 'ZHX3', 'ARAP2', 'PATL1', 'CTTNBP2NL', 'RGMA', 'ZEB2', 'TRAF3', 'NDUFS4', 'RALA', 'ZDHHC20', 'LRTM2', 'RNF38', 'COX5B', 'PPM1D', 'FAM117B', 'PAPSS2', 'NSD3', 'SNX27', 'FCHO2', 'FYN', 'C1GALT1', 'CMTM6', 'KIAA1549L', 'SORBS2', 'ATP2B2', 'DCBLD2', 'SH3RF3', 'RAB10', 'KLF7', 'TAOK1', 'BRMS1L', 'ASXL3', 'SMAP1']",9.87440939405578e-07,0,0,97
2,mmu-miR-181a-5p,7.38729274285798e-10,2.058853481429005,43.28963777938609,"['OTUD4', 'AQP4', 'RORB', 'SOGA1', 'GJA1', 'RASSF2', 'UBASH3B', 'PPIP5K2', 'EME2', 'RNF19A', 'EPC1', 'EPC2', 'DIP2C', 'MAP3K7', 'PPFIA2', 'PNISR', 'EPHA4', 'KCNK10', 'FBXW11', 'TBR1', 'ACSL4', 'DICER1', 'ANK1', 'TMEM135', 'TBL1XR1', 'ASTN1', 'NSMAF', 'OSBP2', 'CSNK1G1', 'KMT2A', 'TNKS', 'KMT2C', 'RPAP2', 'LPP', 'GIGYF2', 'FAM171A1', 'TMEM245', 'MAN2A1', 'INPP5E', 'SRGAP2', 'N4BP2', 'GRIA3', 'GPM6B', 'TRPM3', 'SCAI', 'BPTF', 'PRRC2C', 'MYO5A', 'AMMECR1', 'MFHAS1', 'AHI1', 'ARHGAP31', 'GRIN3A', 'GNAQ', 'MAP3K10', 'SPIRE1', 'TMCC1', 'OGT', 'CPEB4', 'INVS', 'CREBZF', 'CHD9', 'WDR41', 'ELAVL4', 'OTUD7B', 'PPP1R9A', 'BICD1', 'AFF4', 'TRIM9', 'ZIC1', 'TLK1', 'TNPO1', 'YWHAG', 'KSR1', 'USP45', 'PTBP3', 'SLC22A23', 'TMEFF1', 'CREB1', 'ELF2', 'UBE2R2', 'SOS1', 'SCN4B', 'NFAT5', 'PARD6G', 'TRAK1', 'NR2C2', 'FBXL20', 'ERMP1', 'ABLIM2', 'FAM168A', 'FCHO2', 'PRRG1', 'SLC17A5', 'FLNB', 'LRIG2', 'ATP9B', 'SASH1', 'NKTR', 'BEND6', 'OPCML', 'TTC14', 'MAP3K1', 'PLEKHA1', 'SWT1', 'PLCL2', 'ATP2B2', 'PRPF39', 'KCNS2', 'TAOK1', 'TTC3', 'APBA1', 'NAA16']",1.1631292423629889e-06,0,0,113
3,hsa-miR-21-5p,2.47727563507501e-09,1.8993281188595768,37.63728812002774,"['RB1', 'ZNF292', 'WWC2', 'JADE3', 'GOLGA4', 'NEK1', 'FBXO3', 'CEP97', 'SKP2', 'TNS3', 'PPFIA4', 'GTF2I', 'SOX5', 'MEF2A', 'EPHA4', 'MORC3', 'TICAM2', 'FNBP1', 'PRKCE', 'ZBTB38', 'ATP11B', 'DICER1', 'TIAM1', 'ZFYVE16', 'DAAM1', 'DMTF1', 'TBL1XR1', 'RUFY3', 'KAT6A', 'AKAP9', 'PPIF', 'PHIP', 'SREK1', 'CLOCK', 'FKBP5', 'ABCB1', 'TSHZ3', 'MYCBP2', 'SLAIN2', 'FOXO3', 'PLD1', 'GLG1', 'FOXO1', 'ARHGAP21', 'TMEM245', 'ADGRG2', 'PDGFD', 'UBR5', 'TRPM7', 'NAA50', 'SRPK2', 'AUTS2', 'BTBD7', 'PBX1', 'PTK2', 'STAG2', 'SP1', 'SESTD1', 'GNAQ', 'SERPINI1', 'FERMT2', 'COX20', 'SETD2', 'BMPR2', 'ABCD3', 'PIGN', 'PTEN', 'ELAVL4', 'RSF1', 'PKD2', 'PHTF1', 'EDRF1', 'LMBR1', 'CYP4V2', 'DSE', 'CNTRL', 'TNPO1', 'USP47', 'PBRM1', 'CERS6', 'ELOVL4', 'STRBP', 'ATRX', 'PTBP3', 'LATS1', 'DDAH1', 'PPARA', 'LCORL', 'TLR4', 'SAMD5', 'NFAT5', 'RABGAP1', 'PRICKLE2', 'RNF6', 'NR2C2', 'EGFR', 'LRP6', 'ATAD2B', 'NSD3', 'NSD2', 'SLC17A5', 'KRIT1', 'VPS54', 'SRSF11', 'SASH1', 'NKTR', 'FDXACB1', 'EGLN1', 'ATF7IP', 'MON2', 'MAP3K1', 'MYEF2', 'PLEKHA1', 'NUBPL', 'SPRY4', 'RPRD2', 'MYO9A', 'PLEKHA8', 'ERP44', 'NIN', 'PRPF39', 'MEIS1', 'PER3', 'POLR3B', 'APC', 'NFIB', 'SLMAP', 'ALMS1', 'ATXN10', 'TRIM33', 'TNRC6B']",2.600313658283736e-06,0,0,131
4,hsa-miR-190a-3p,1.2608087826371831e-08,1.8319718903861182,33.321603599365176,"['C11ORF74', 'NEXMIF', 'SPPL2A', 'RORA', 'NR3C1', 'SLC8A1', 'MYLK3', 'IKZF4', 'ZC3H12C', 'PPP1CC', 'KIAA1109', 'ZNF609', 'ZNF608', 'PPIP5K2', 'SMARCAD1', 'RPL37', 'CEP97', 'SAMD12', 'CDON', 'SOX5', 'EPHA5', 'TMEM178B', 'DAPK1', 'FBXW7', 'KCNK12', 'RC3H1', 'LMTK2', 'ACSL4', 'CD2AP', 'FOXP1', 'PIAS1', 'TMEM135', 'ADCY9', 'XRN1', 'KAT6A', 'ZNF318', 'PHIP', 'CD226', 'FAR2', 'TSNARE1', 'OSBP2', 'SLC45A4', 'TMEM161B', 'TMTC3', 'SLAIN2', 'NLK', 'MBTD1', 'ARHGAP21', 'SPAST', 'HIVEP1', 'LONRF3', 'SRGAP2', 'PPARGC1A', 'RAB11FIP3', 'N4BP1', 'OSBPL9', 'NDFIP2', 'HACE1', 'TAS2R30', 'CRADD', 'SLC35E3', 'PRRC2C', 'ARHGAP29', 'ABHD18', 'GRIN2B', 'LRRC63', 'MARCH3', 'GULP1', 'MLLT10', 'PEX5L', 'SP1', 'UBE2K', 'XKR6', 'PLEKHM3', 'BMPR1A', 'CREBZF', 'GSK3B', 'CSRNP3', 'AKAP10', 'PPP2R5E', 'MAN1A2', 'NCK2', 'TNPO1', 'YAF2', 'ZHX3', 'TET2', 'ASH1L', 'GLRX2', 'ETV6', 'CREB1', 'ELF2', 'RTN4RL1', 'ZNF516', 'BMP2K', 'EFHC1', 'POT1', 'SLC25A12', 'CNTNAP5', 'FOCAD', 'RABGAP1', 'STAU1', 'RNF6', 'NR2C2', 'TMEM164', 'PAPSS2', 'LRP6', 'SLC25A27', 'STOX2', 'LIMA1', 'C18ORF25', 'ZNF507', 'UBN2', 'NAA25', 'CLVS2', 'KANSL1L', 'RUNX1T1', 'OPCML', 'WDR17', 'PPIL1', 'KCNJ6', 'NLGN4X', 'PLEKHA1', 'NTRK3', 'RPL23A', 'ARID3A', 'MGAT4C', 'KLF7', 'NFIB', 'NFIC', 'TAOK1', 'BRMS1L', 'RAB3GAP1']",9.925717141311224e-06,0,0,132
5,mmu-miR-340-5p,8.006000790827383e-08,1.7861910284477465,29.187235539222893,"['FHOD3', 'OTUD4', 'WASHC4', 'CYFIP1', 'DGKD', 'CCNT2', 'ITSN1', 'CEP120', 'ARID4B', 'DACH1', 'SCMH1', 'FBXO3', 'ARFIP1', 'MAP3K7', 'KPNA1', 'ARL6IP6', 'MEF2A', 'PNISR', 'CSNK1G3', 'TMEM178B', 'DAPK1', 'RALGAPA2', 'COG3', 'ADAM10', 'LMTK2', 'TBC1D2B', 'RPGRIP1L', 'IPCEF1', 'CD2AP', 'PIAS1', 'ACAP2', 'OLFM3', 'KAT6A', 'DENND6A', 'CSNK1G1', 'PFN2', 'GRIA2', 'TMEM185A', 'BRSK2', 'SLC41A2', 'MYCBP2', 'AGAP1', 'SLAIN1', 'ANAPC11', 'MBTD1', 'ANKH', 'ATXN7', 'MAN2A1', 'ABL2', 'MYH10', 'QSER1', 'ABCA1', 'SLC14A1', 'YES1', 'AUTS2', 'PBX3', 'MYO5A', 'TRAPPC8', 'LARP4', 'PUM2', 'KLHL20', 'MLLT10', 'MFHAS1', 'SESTD1', 'PHF14', 'CCSER2', 'CNTN3', 'OGT', 'PHF3', 'SLC44A5', 'KDM5B', 'CRYBG3', 'DOCK9', 'CHD9', 'INTS10', 'ELAVL4', 'PPP1R9A', 'PKD2', 'N4BP2L2', 'AFF4', 'GPHN', 'MAN1A2', 'SUFU', 'PPP6R3', 'PSD3', 'KIF13A', 'ZNF800', 'CEP170', 'SLC18A2', 'YWHAG', 'ARNT', 'OXSR1', 'TMEFF2', 'NCOR1', 'CREB1', 'TMEM33', 'NDUFS4', 'BMP2K', 'SOS1', 'ZMYND11', 'PRKAA1', 'NLGN1', 'PELI2', 'PARD6G', 'FAM117B', 'NSD3', 'CYTH3', 'FCHO2', 'MAPK1', 'SRSF11', 'NKTR', 'KCNJ6', 'MAP3K1', 'PLEKHA1', 'GAD1', 'CMTM6', 'PDE4DIP', 'MYO9A', 'DBNDD2', 'FRAS1', 'ABHD17B', 'DLC1', 'NAA15', 'KCNK2', 'LGR4', 'R3HDM2']",5.042179298063086e-05,0,0,126
6,hsa-miR-5011-5p,4.5453675476688613e-07,1.7201986914617153,25.12175942733767,"['C11ORF74', 'TCERG1', 'NEXMIF', 'SPPL2A', 'RORA', 'SLC8A1', 'MYLK3', 'IKZF4', 'ZC3H12C', 'ZNF609', 'ZNF608', 'PPIP5K2', 'SMARCAD1', 'RPL37', 'CEP97', 'SAMD12', 'CDON', 'SOX5', 'EPHA5', 'TMEM178B', 'DAPK1', 'FBXW7', 'KCNK12', 'RC3H1', 'LMTK2', 'ACSL4', 'CD2AP', 'FOXP1', 'PIAS1', 'ADCY9', 'XRN1', 'KAT6A', 'ZNF318', 'PHIP', 'CD226', 'FAR2', 'TSNARE1', 'OSBP2', 'SLC45A4', 'TMTC3', 'SLAIN2', 'NLK', 'MBTD1', 'ARHGAP21', 'SPAST', 'LONRF3', 'SRGAP2', 'PPARGC1A', 'RAB11FIP3', 'OSBPL9', 'NDFIP2', 'HACE1', 'TAS2R30', 'CRADD', 'SLC35E3', 'PRRC2C', 'ABHD18', 'GRIN2B', 'LRRC63', 'MARCH3', 'GULP1', 'MLLT10', 'PEX5L', 'SP1', 'XKR6', 'PLEKHM3', 'BMPR1A', 'CREBZF', 'GSK3B', 'CSRNP3', 'PPP2R5E', 'MAN1A2', 'NCK2', 'TNPO1', 'YAF2', 'ZHX3', 'TET2', 'ASH1L', 'PPP2R5C', 'GLRX2', 'ETV6', 'CREB1', 'ELF2', 'RTN4RL1', 'ZNF516', 'BMP2K', 'EFHC1', 'POT1', 'SOS1', 'SLC25A12', 'CNTNAP5', 'FOCAD', 'RABGAP1', 'STAU1', 'RNF6', 'NR2C2', 'TMEM164', 'FAM117B', 'PAPSS2', 'LRP6', 'SLC25A27', 'STOX2', 'LIMA1', 'C18ORF25', 'ZNF507', 'NAA25', 'CLVS2', 'KANSL1L', 'RUNX1T1', 'OPCML', 'WDR17', 'PPIL1', 'KCNJ6', 'NLGN4X', 'PLEKHA1', 'NTRK3', 'RPL23A', 'ARID3A', 'MGAT4C', 'KLF7', 'NFIB', 'NFIC', 'TAOK1', 'BRMS1L', 'RAB3GAP1']",0.00022917728333055051,0,0,125
7,mmu-miR-758-3p,5.094445802838532e-07,2.2014436912546893,31.898797485024893,"['CREBZF', 'RERE', 'GABRB2', 'SLC35F3', 'FRMPD4', 'CEP120', 'CASC4', 'OTUD7B', 'ARID4B', 'N4BP2L2', 'CX3CL1', 'NHSL1', 'MPRIP', 'CDC27', 'KIF1B', 'NRCAM', 'ZNF644', 'KDM6A', 'UNC13C', 'MAP2K4', 'ZHX3', 'ZGPAT', 'CAMK1D', 'FNBP1', 'KCNH7', 'ATP11C', 'NAV1', 'CBFA2T2', 'RGMA', 'RNF144A', 'ZC2HC1A', 'ZEB1', 'DAAM1', 'DDAH1', 'CTDSP2', 'SOS1', 'SHANK2', 'GRIA1', 'BRSK2', 'SLC20A2', 'CACNA1B', 'C15ORF41', 'TMTC1', 'TRAK1', 'RPAP2', 'ZFP36L2', 'ADD1', 'FAM171A1', 'KCNV1', 'TMEM245', 'RHOT1', 'NSD1', 'MYO6', 'ADAM23', 'N4BP1', 'BPTF', 'ABCA1', 'MYO5A', 'PHKB', 'DHCR24', 'MFHAS1', 'FRAS1', 'TTC3']",0.00022917728333055051,0,0,63
8,hsa-miR-6867-5p,1.3001567102350361e-06,1.8471689497716894,25.034728349034072,"['INVS', 'GABRB2', 'CHIC1', 'CSRNP3', 'NEXMIF', 'GHITM', 'AFF3', 'MYLK3', 'CISD3', 'ARHGAP35', 'HS6ST3', 'PPP1CC', 'LMBR1', 'DPYSL5', 'MAN1A2', 'CYP4V2', 'EFCAB2', 'NCK2', 'FBRSL1', 'EP300', 'KIF1B', 'PHLDA3', 'CDON', 'SOX5', 'PPP1R16B', 'EPHA5', 'ZHX3', 'KCNK10', 'KCNK12', 'P3H2', 'ANO8', 'NAV1', 'ASH1L', 'GLRX2', 'PGD', 'TCTE1', 'ETV6', 'ZEB1', 'RALGAPB', 'DMTF1', 'TRAF3', 'KAT6A', 'KCNQ3', 'POT1', 'SLC25A12', 'CNTNAP5', 'ZDHHC20', 'LRTM2', 'TMTC3', 'C15ORF41', 'NLK', 'LPP', 'FAM117B', 'PAPSS2', 'STOX2', 'NT5DC1', 'GLRA2', 'GRK3', 'MAP2', 'UBN2', 'GPBP1L1', 'SRGAP2', 'KANSL1L', 'RUNX1T1', 'MBD3', 'OSBPL9', 'NDFIP2', 'KCNJ6', 'SMAD4', 'NLGN4X', 'SLC35E3', 'SPRY4', 'KIAA1549L', 'MYO5A', 'ABHD18', 'BTBD9', 'GRIN2B', 'MARCH3', 'TTLL7', 'KLF7', 'TBCK', 'FGF14', 'TAOK1', 'CAMK4', 'CCSER2', 'APBA1', 'LSM14A', 'PLEKHM3', 'ZNF850', 'BRWD3', 'BMPR1A']",0.0005117741850662661,0,0,91
9,hsa-miR-1277-5p,4.88916058690584e-06,1.6508474032227,20.187370843521933,"['C11ORF74', 'NEXMIF', 'SPPL2A', 'RORA', 'ANTXR2', 'NR3C1', 'IKZF4', 'ZNF609', 'ZNF608', 'PPIP5K2', 'BBX', 'SMARCAD1', 'RPL37', 'CEP97', 'SAMD12', 'CDON', 'SOX5', 'EPHA5', 'TMEM178B', 'DAPK1', 'KCNK12', 'RC3H1', 'LMTK2', 'CD2AP', 'FOXP1', 'PIAS1', 'ADCY9', 'XRN1', 'RFX7', 'TBL1XR1', 'KAT6A', 'ZNF318', 'PHIP', 'CD226', 'FAR2', 'TSNARE1', 'OSBP2', 'SLC45A4', 'NECAB1', 'TNKS', 'NLK', 'HIGD1A', 'ZFP36L2', 'ZFP36L1', 'MBTD1', 'ARHGAP21', 'ATXN1', 'LONRF3', 'SRGAP2', 'PPARGC1A', 'RAB11FIP3', 'NDFIP2', 'CRADD', 'SLC35E3', 'PRRC2C', 'ABHD18', 'GRIN2B', 'LRRC63', 'MARCH3', 'GULP1', 'PEX5L', 'SP1', 'XKR6', 'PLEKHM3', 'BMPR1A', 'CREBZF', 'GSK3B', 'CSRNP3', 'DOCK9', 'PPP2R5E', 'MAN1A2', 'NCK2', 'TNPO1', 'YAF2', 'ZHX3', 'TET2', 'ASH1L', 'PPP2R5C', 'GLRX2', 'ETV6', 'CREB1', 'ELF2', 'RTN4RL1', 'ZNF516', 'BMP2K', 'EFHC1', 'NUMB', 'POT1', 'SLC25A12', 'CNTNAP5', 'FOCAD', 'RABGAP1', 'NR2C2', 'PAPSS2', 'LRP6', 'SLC25A27', 'STOX2', 'MAPK8', 'C18ORF25', 'NAA25', 'CLVS2', 'KANSL1L', 'RUNX1T1', 'WDR17', 'PPIL1', 'KCNJ6', 'NLGN4X', 'NTRK3', 'CMTM6', 'RPL23A', 'ARID3A', 'MGAT4C', 'KLF7', 'NFIB', 'NFIC', 'TAOK1', 'BRMS1L']",0.0017106629653518325,0,0,117
10,mmu-miR-19b-3p,9.12601964932307e-06,1.8877486623679518,21.906154563768474,"['PHF3', 'SLC35F3', 'ATP8A1', 'CEP120', 'PTEN', 'SLC35F1', 'ARID4B', 'SOGA3', 'SOGA1', 'AFF4', 'GJA1', 'NHSL1', 'RASGEF1A', 'PPP2R5E', 'ZNF800', 'KIF21B', 'TNPO1', 'RALGPS1', 'GTF2I', 'SH3D19', 'PNISR', 'ZHX3', 'KDM2A', 'ACTN1', 'TET2', 'ARAP2', 'ZEB2', 'DAAM1', 'HECW2', 'TBC1D23', 'CLOCK', 'SHANK1', 'TNKS', 'RNF38', 'PIK3R3', 'AGAP1', 'COX5B', 'FOXO3', 'ADD3', 'PAPSS2', 'NSD3', 'ARHGAP21', 'TMEM245', 'DPP6', 'SNX27', 'ADAM23', 'ABL2', 'TBC1D12', 'DRD1', 'PAK3', 'HMGCLL1', 'N4BP1', 'NAA50', 'NDFIP2', 'ANKRD26', 'ANKIB1', 'MAP3K1', 'C1GALT1', 'CMTM6', 'PRRC2C', 'BTBD7', 'ATP2B2', 'DCBLD2', 'SH3RF3', 'KLF7', 'GRIN3A', 'SP1', 'ASXL3', 'TTC3', 'CCSER2', 'TNRC6B']",0.0028737835875718345,0,0,71
11,hsa-miR-223-5p,1.387386972422561e-05,1.9641414141414142,21.969910393221554,"['CHIC1', 'CSRNP3', 'NEXMIF', 'MYLK3', 'PPP1CC', 'RNF115', 'CYP4V2', 'SOX5', 'EPHA5', 'PPP1R16B', 'ZHX3', 'USP5', 'FBXW7', 'KCNK12', 'ASH1L', 'GLRX2', 'FOXP1', 'ETV6', 'RTN4RL1', 'KAT6A', 'KCNQ3', 'POT1', 'CD226', 'CNTNAP5', 'NECAB1', 'LRTM2', 'TMTC3', 'PARD6G', 'C15ORF41', 'LPP', 'PAPSS2', 'NT5DC1', 'GLRA2', 'ERMP1', 'UBN2', 'NAA25', 'DYM', 'GPBP1L1', 'KANSL1L', 'RAB11FIP3', 'RUNX1T1', 'OSBPL9', 'NDFIP2', 'HACE1', 'NLGN4X', 'SLC35E3', 'DENND4C', 'SPRY4', 'MYO5A', 'ABHD18', 'GRIN2B', 'TBCK', 'FGF14', 'NFIC', 'TAOK1', 'DMXL1', 'CCSER2', 'PLEKHM3', 'BRWD3', 'ZNF850', 'BMPR1A']",0.0037371925562708647,0,0,61
12,hsa-miR-181a-5p,1.4241445117577127e-05,1.6664144387330213,18.596108922745124,"['ATP8A1', 'TUSC3', 'ZFAND6', 'TMEM94', 'AHR', 'TIAL1', 'HERC3', 'ROPN1L', 'TMEM14A', 'NUDT12', 'KPNA1', 'ARL6IP6', 'SOX5', 'EPHA5', 'CADPS2', 'MIGA2', 'ATG10', 'KCTD3', 'PGD', 'EMSY', 'PCDHA10', 'ADCY9', 'TBL1XR1', 'HECW2', 'ZNF439', 'WDFY3', 'PHPT1', 'KMT2E', 'TSG101', 'NLK', 'ZFP36L2', 'ZFP36L1', 'ARHGAP12', 'ATXN7', 'ZNF148', 'ATG5', 'NAA50', 'SRPK2', 'SMAD2', 'TMEM132B', 'PBX3', 'PRRC2C', 'AMMECR1', 'FBXO34', 'IRAK1BP1', 'STAG2', 'CAPRIN2', 'NMT2', 'MAP3K10', 'SPIRE1', 'ATM', 'TMCC1', 'ZNF652', 'RCOR1', 'CPEB4', 'ZNF253', 'SMG1', 'RBM25', 'BMPR2', 'CHD9', 'PTEN', 'RSF1', 'PPP1R9A', 'AFF4', 'PPP2R5E', 'MAN1A2', 'TNPO1', 'SLC37A3', 'ZNF487', 'PHACTR4', 'PBRM1', 'EED', 'CTDSPL', 'PTBP3', 'KAT2B', 'FAM222B', 'ZEB2', 'ARF6', 'PRKN', 'RALA', 'LRRC17', 'GNAI3', 'RNF6', 'ACAN', 'SH3BGRL', 'DRAM1', 'NSD2', 'LRRC8D', 'MAPK1', 'SHOC2', 'STX2', 'SASH1', 'MAP4K4', 'PLCL2', 'TMEM64', 'GATAD2B', 'DCBLD2', 'NIN', 'BRMS1L', 'FSIP1', 'TNRC6B']",0.0037371925562708647,0,0,101
13,mmu-miR-9-5p,1.8232928606928552e-05,1.6370568725532841,17.864025153896808,"['ATP8A1', 'UBE3C', 'AQP4', 'ANTXR2', 'HS6ST1', 'CCDC91', 'RNF19A', 'SLC16A7', 'UNC13C', 'RBFOX1', 'FBXW11', 'SEMA6D', 'ADAM10', 'FRMD4A', 'RPGRIP1L', 'RUNDC3B', 'ACLY', 'CLIP1', 'DMTF1', 'COL4A2', 'RFX7', 'HECW2', 'SPECC1L', 'SREK1', 'CLOCK', 'STAM2', 'GRIA2', 'TTYH2', 'KMT2A', 'TNKS', 'AK4', 'FOXO3', 'ZFP36L2', 'PRKAR2A', 'ZNF704', 'MYO6', 'TSPAN7', 'MAP6', 'BPTF', 'ABCA1', 'OPN3', 'STK11IP', 'MYO5A', 'DHCR24', 'LARP4', 'GRIN2B', 'ZFHX4', 'GFAP', 'SLC6A6', 'SESTD1', 'NMT2', 'SPIRE1', 'CCSER2', 'CNTN3', 'SERPINI1', 'PPP1R13B', 'KCNC1', 'DOCK9', 'FMN1', 'PIK3CB', 'ARHGAP6', 'CDC73', 'SYNE1', 'ZCCHC14', 'RPTOR', 'NHSL1', 'MAN1A2', 'SUFU', 'PSD3', 'ZIC1', 'PBRM1', 'PTBP2', 'NCOR2', 'RNF144A', 'NCOR1', 'CREB1', 'PACS2', 'TRAF3', 'CTDSP2', 'SOS1', 'RBM24', 'SHANK2', 'B4GALT5', 'ZDHHC20', 'PARD6G', 'AMBRA1', 'FSTL1', 'KIAA1328', 'SNX27', 'DZANK1', 'SNX25', 'FLNB', 'LRIG2', 'CNNM2', 'FNIP2', 'WASF2', 'CLASP1', 'BEND6', 'OPCML', 'TTC14', 'BCHE', 'KIAA1549L', 'KLF7', 'KCNS2', 'ASXL3']",0.004416576321786001,0,0,105
14,mmu-miR-425-5p,2.8440502573693442e-05,1.7170621652730946,17.97368524307921,"['GABRB2', 'CHIC1', 'SPARC', 'KCNC1', 'CHD9', 'SLC35F1', 'GRIK2', 'NR3C1', 'SOGA1', 'ZDHHC2', 'AFF4', 'CDC14A', 'SYNE1', 'GJA1', 'DACH1', 'MPRIP', 'CAPN7', 'PPIP5K2', 'RALGPS1', 'YWHAG', 'SH3D19', 'MEF2A', 'USP47', 'PBRM1', 'KDM2A', 'CAMK1D', 'TMEM178B', 'FNBP1', 'KCNH7', 'RALGAPA2', 'COG3', 'LMTK2', 'PRPF4B', 'FRMD4A', 'RPGRIP1L', 'PTBP2', 'RNF144A', 'ARMC2', 'TMEM135', 'RNF169', 'PRPF18', 'DAAM1', 'TRAF3', 'KAT6A', 'PHIP', 'SOS1', 'CLOCK', 'TLR4', 'STAM2', 'SCN4B', 'GRIA2', 'URI1', 'BAZ2B', 'ACACA', 'TRPM2', 'SCAF8', 'PRKAR2A', 'MYO6', 'ADAM23', 'STK38', 'HIVEP1', 'FLNB', 'LRIG2', 'SRGAP2', 'ATG5', 'ABCA1', 'RAP1GAP2', 'OSBPL8', 'OSBPL6', 'B3GAT2', 'SYT16', 'PBX1', 'TNRC6C', 'SLC6A6', 'FRAS1', 'APC', 'SESTD1', 'TAOK1', 'NMT2', 'TRIP12', 'SERPINI1', 'DZIP1', 'SFXN5', 'CPEB4']",0.006397081614611474,0,0,84
15,mmu-miR-15a-5p,3.504822905764546e-05,1.612986715153898,16.547284679841585,"['PID1', 'DGKD', 'CCNT2', 'SPARC', 'TRRAP', 'NEXMIF', 'HS6ST1', 'SOGA1', 'HERC3', 'CNST', 'TBK1', 'CDC27', 'KIF21B', 'BTRC', 'KPNA1', 'TMEM178B', 'FNBP1', 'SEMA6D', 'ADAM10', 'CASK', 'CACNB2', 'RALGAPB', 'OLFM3', 'DAAM1', 'PHIP', 'DENND6A', 'RAF1', 'CLOCK', 'STAM2', 'KMT2A', 'TNKS', 'KMT2C', 'NTM', 'TMTC2', 'PIK3R3', 'AK4', 'ZBTB5', 'FAM171A1', 'TMEM245', 'ZNF827', 'MAN2A1', 'PRKAR2A', 'ZNF704', 'STK38', 'TSPAN7', 'LONRF3', 'N4BP1', 'MARK2', 'CDK17', 'SMAD2', 'OSBPL8', 'SMAD4', 'MYO5A', 'EXT1', 'AHI1', 'AGO3', 'GNAQ', 'PHF14', 'SPIRE1', 'CCSER2', 'FERMT2', 'BMPR1A', 'TENM3', 'CRYBG3', 'DENND1A', 'SMG7', 'BICD1', 'CX3CL1', 'KIF13A', 'NEO1', 'YWHAG', 'KDM6A', 'ASH1L', 'CBFA2T2', 'NCOR1', 'TRAF3', 'CTDSP2', 'B3GNT2', 'SOS1', 'LCORL', 'SCN4B', 'IDUA', 'ZDHHC20', 'SEMA3A', 'RAP1GDS1', 'NR2C2', 'FSTL1', 'TMEM164', 'ABLIM1', 'FSD1', 'LRIG2', 'ATP9B', 'DYNC1I1', 'TTC14', 'ANGPT1', 'RNF24', 'CMTM6', 'KIAA1549L', 'DLC1', 'BRMS1L', 'TTC3', 'TRIM33', 'TNRC6B']",0.0073577915535017035,0,0,103
