"","Name",""
"C00719","Betaine","0"
"C00328","Kynurenine","0"
"C05828","Methylimidazoleacetic acid","0"
"C00079","Phenylalanine","0"
"C00794","Sorbitol","0"
"C00526","Deoxyuridine","0"
"C00881","Deoxycytidine","0"
"C00082","L-Tyrosine","0"
"C00366","Uric acid","0"
"C00078","L-Tryptophan","0"
"C00021","S-Adenosylhomocysteine","0"
"C00670","Glycerophosphocholine","0"
"C00514","D-Mannonate","0"
"C00086","Urea","0"
"C05653","Formylanthranilic acid","0"
"C03150","Nicotinamide riboside","0"
"C00123","Leucine","0"
"C00095","D-Fructose","0"
"C00183","L-Valine","0"
"C01233","Glycerylphosphorylethanolamine","0"
"C00739","D-Lysine","0"
"C02727","N6-Acetyl-L-lysine","0"
"C00064","Glutamine","0"
"C00334","gamma-Aminobutyric acid","0"
"C00029","Uridine diphosphate glucose","0"
"C05422","Dehydroascorbic acid","0"
"C04148","Phenylacetylglutamine","0"
"C02997","N-Acetylhistidine","0"
"C01717","Kynurenic acid","0"
"C00407","Isoleucine","0"
"C00956","Aminoadipic acid","0"
"C00475","Cytidine","0"
"C00350","PE(14:0/20:1(11Z))","0"
"C05131","Imidazoleacetic acid riboside","0"
"C00022","Pyruvic acid","0"
"C01004","Trigonelline","0"
"C00216","D-Arabinose","0"
"C00059","Sulfate","0"
"C00073","Methionine","0"
"C00319","Sphingosine","0"
"C02052","Maltotetraose","0"
"C00062","L-Arginine","0"
"C00487","L-Carnitine","0"
"C00597","3-Phosphoglyceric acid","0"
"C03672","Hydroxyphenyllactic acid","0"
"C00031","D-Glucose","0"
"C05345","Beta-D-Fructose 6-phosphate","0"
"C02067","Pseudouridine","0"
"C11130","3-Hydroxy-2-oxoindole","0"
"C01152","1-Methylhistidine","0"
"C00791","Creatinine","0"
"C00307","Citicoline","0"
"C00170","5'-Methylthioadenosine","0"
"C00186","Lactic acid","0"
"C00503","Erythritol","0"
"C05842","Nudifloramide","0"
"C01835","Maltotriose","0"
"C00074","Phosphoenolpyruvic acid","0"
"C02989","Methionine sulfoxide","0"
"C02642","Ureidopropionic acid","0"
"C00296","Quinic acid","0"
"C00188","L-Threonine","0"
"C00878","Arabinonic acid","0"
"C00946","Adenosine 2'-phosphate","0"
"C00180","Benzoic acid","0"
"C02990","Palmitoylcarnitine","0"
