"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"PITX1 (human)",0.00115971454030685,1.44443438012337,9.76377175508861,"['IFITM3', 'RPL5', 'DBR1', 'RPL3', 'CEP120', 'COX6A1', 'RPL6', 'TXN2', 'RPL35', 'SNRNP35', 'RPS10', 'RPL39', 'NOMO1', 'ZNF562', 'ST6GAL1', 'PAM16', 'TINF2', 'AP1B1', 'COX6B1', 'RNF41', 'LARS2', 'ZNF91', 'MYL6', 'RPL24', 'RPL27', 'LAP3', 'RPL29', 'UBA52', 'SET', 'COX7A2', 'PRPF8', 'FAM149A', 'APH1A', 'SEC14L2', 'UBB', 'BLOC1S1', 'DDRGK1', 'SNAPIN', 'RPS26', 'RPS27', 'NACA', 'PPT1', 'UBA1', 'NF2', 'NOL12', 'RPS24', 'COX7B', 'MCFD2', 'ZCCHC10', 'CELF1', 'PHF20', 'RPTOR', 'MED11', 'SUMO1', 'CASP6', 'OPA3', 'C9ORF16', 'TMED2', 'ACP2', 'CTSF', 'EIF2B1', 'NDEL1', 'CTSB', 'GPX4', 'DCAKD', 'DHPS', 'HAUS4', 'NME2', 'GLRX2', 'PLRG1', 'WDR34', 'COASY', 'COPZ1', 'DDX19B', 'SLC25A17', 'POLR1B', 'IVD', 'UFC1', 'TMEM219', 'DNAJC8', 'OTUB1', 'RPL11', 'TMEM160', 'SLC3A2', 'NOL3', 'RPS15A', 'PSMB5', 'PHKG1', 'RPL14', 'AP2S1', 'RPL13', 'STX4', 'RABAC1', 'RPL17', 'GADD45GIP1', 'NOP56', 'PPP1R14A', 'CENPV', 'TAF13', 'GSS', 'NDUFA2', 'DOHH', 'BCKDK', 'MFAP1', 'NDUFAB1', 'NAA16', 'TAF6', 'FAU', 'GRINA']",0.315379567852597,0,0,109,"PITX1",0.315379567852597,NA,NA,NA,NA,NA,NA,NA
"Klf4 (mouse)",0.00319452155078958,3.00274684848188,17.2547381199256,"['FIS1', 'LEFTY1', 'TSTD1', 'TRPC3', 'ODC1', 'EYA4', 'LAGE3', 'DRAP1', 'PIK3IP1', 'NFIC', 'DNAJC8', 'RABAC1', 'RPS12']",0.315379567852597,0,0,13,"Klf4",0.315379567852597,NA,NA,NA,NA,NA,NA,NA
"TP53 (mouse)",0.00406412224918762,1.42669139727963,7.85473150558276,"['RPL30', 'ZCCHC10', 'PHF20', 'THYN1', 'PHAX', 'COX6A1', 'RPL9', 'CNDP2', 'RPS15', 'ARHGAP42', 'RPS19', 'RPS18', 'RPL36', 'ACP2', 'KNTC1', 'PIM3', 'SNRNP35', 'APPL2', 'LRRC47', 'RPS9', 'ENDOG', 'RPS5', 'DHPS', 'PAM16', 'PCDHGA1', 'SARS', 'PLRG1', 'SYNGR3', 'CPT1B', 'GTPBP4', 'SRP9', 'FAM185A', 'RPL7L1', 'RPL37A', 'CDHR2', 'RPL27', 'RPL26', 'PFDN4', 'MZF1', 'SQSTM1', 'SLU7', 'UBA52', 'DCTPP1', 'PRR14', 'RBMS2', 'SRSF9', 'NDUFB9', 'SET', 'USP11', 'SLC3A2', 'CLCN3', 'COX7A1', 'DPCD', 'NPAS1', 'PSMB6', 'PARD6A', 'CYP4X1', 'NRIP2', 'RPS2', 'CKB', 'SERF2', 'TAF13', 'ADAT1', 'RPL35A', 'RSRC2', 'DOHH', 'ATOX1', 'THAP11', 'TMCO1', 'RPS26', 'TMEM232', 'PSMC5', 'LYRM2', 'MC1R', 'TMEM115', 'ARPC3', 'ASB8', 'CROCC', 'RFXAP', 'TOMM7', 'BAX', 'NAA16', 'TAF6', 'NF2', 'NOL12', 'RPS24', 'GRINA']",0.315379567852597,0,0,87,"TP53",0.315379567852597,NA,NA,NA,NA,NA,NA,NA
"NRF1 (mouse)",0.00426884334881225,1.35147788632604,7.37422065258738,"['IFITM3', 'RPL5', 'RPL30', 'NDUFA13', 'DBR1', 'CD81', 'ECI1', 'SAT2', 'PARK7', 'RPL8', 'COX6A1', 'CLGN', 'RPS15', 'RPS14', 'STK10', 'RPS16', 'RPS19', 'SESN3', 'NAMPT', 'RPL35', 'RPL38', 'PIM3', 'VPS35', 'SNRNP35', 'RPS10', 'CHCHD1', 'ACAD10', 'RPS9', 'ATP6V1G1', 'RPL21', 'RPS8', 'PAM16', 'RPSA', 'IMP4', 'UNC5D', 'GTPBP4', 'COX6B1', 'DDX39B', 'RPL7L1', 'MRTO4', 'NHP2', 'RPL27', 'MPPE1', 'MZF1', 'UBA52', 'SRSF9', 'CLEC16A', 'COX7A2', 'ATXN7L3B', 'PDS5B', 'LDHA', 'CEP70', 'BTF3', 'KLHDC3', 'PTPRN2', 'RPS25', 'RPS28', 'LSM7', 'FAM151B', 'UBE2S', 'ARPC3', 'RFXAP', 'NF2', 'RPS21', 'RPS24', 'RPS23', 'AARS', 'UBE2M', 'COX7B', 'MCFD2', 'COX4I1', 'ARRB2', 'MEA1', 'COX7C', 'PCMTD2', 'RARS', 'TNFRSF19', 'PCDHGA1', 'HAUS3', 'GLRX2', 'SYP', 'TUBG2', 'COMMD6', 'DDX19B', 'DNAJC8', 'PARG', 'POMP', 'SLC3A2', 'COX5B', 'COX5A', 'PSMB6', 'PARD6A', 'TDG', 'RPS3', 'SNRPB2', 'PCBD1', 'RPS2', 'CKB', 'DCAF11', 'HNRNPA1', 'CLASP1', 'RWDD1', 'TIMM8B', 'GIT2', 'GABBR1', 'NDUFA6', 'NDUFA5', 'YIPF3', 'GSS', 'RPL23A', 'DOHH', 'COX6C', 'LYRM2', 'SPCS1', 'PSMC4', 'ASB8', 'CROCC', 'NDUFAB1', 'NAA16', 'TOMM5']",0.315379567852597,0,0,120,"NRF1",0.315379567852597,3.27021819603819e-06,0.151681117684159,NA,NA,NA,0.291124951068865,0.910530018183984
"RARA (human)",0.00640604791295814,1.37569292463339,6.94795465379325,"['DAZAP2', 'RBM25', 'RPL3', 'ATP8A2', 'NDUFA12', 'MYL6B', 'MAGT1', 'MEA1', 'RPL8', 'RPL10A', 'COX6A1', 'FRY', 'RPL9', 'USE1', 'RPS15', 'MED11', 'RPL18A', 'RPS19', 'MED10', 'TNKS1BP1', 'TIMM17B', 'ACP2', 'CTSF', 'MDP1', 'RPS10', 'RALGPS1', 'ZNF564', 'RPS12', 'GABARAPL1', 'GPX4', 'VPS33B', 'COMMD1', 'PDIA6', 'COX6B1', 'CORT', 'DPM2', 'RCN1', 'ZNF91', 'DDX39B', 'RASA4', 'RPL7L1', 'ZNF516', 'UBA52', 'SRSF7', 'RBMS2', 'PLBD2', 'OTUB1', 'SET', 'BRI3', 'WBP2', 'RPN1', 'VPS4A', 'TIMM10', 'KLHL13', 'OAZ1', 'SEC14L2', 'PHKG1', 'TCEAL4', 'UBB', 'TDG', 'CEP70', 'AP2S1', 'RPS3', 'RPL13', 'DVL3', 'SERF2', 'PPARGC1B', 'RPL19', 'ATP6V1F', 'NDUFA6', 'GCH1', 'IDH1', 'GBF1', 'VEGFB', 'DOHH', 'MYO19', 'RPS26', 'RPS25', 'LSM7', 'LYRM2', 'RPS27', 'MC1R', 'PIK3IP1', 'MFAP1', 'ARPC3', 'ETNK1', 'IMPDH2', 'ASB8', 'NDUFAB1', 'CYCS', 'FAM98C', 'UBA1', 'NOL12', 'RPS21', 'RPS24']",0.315379567852597,0,0,95,"RARA",0.315379567852597,0.53769392609247,0.726897350146413,NA,NA,NA,0.707907607608786,0.586107931058805
"NR1H3 (human)",0.00649362295340713,1.3843449328554,6.97285498442309,"['DAZAP2', 'RPL3', 'NDUFA12', 'MAGT1', 'COX6A1', 'FRY', 'RPL9', 'USE1', 'RPL6', 'TXN2', 'RPS15', 'MED11', 'RPL18A', 'RPS19', 'OPA3', 'TMED2', 'TIMM17B', 'CTSF', 'MDP1', 'DCAKD', 'VPS33B', 'NDUFC1', 'ACYP1', 'COMMD1', 'GNL2', 'NME1', 'DPM2', 'RCN1', 'DDX39B', 'PALLD', 'RPL7L1', 'TMEM126A', 'UFC1', 'TMEM219', 'PPIH', 'LAP3', 'UBA52', 'RBMS2', 'OTUB1', 'SRSF9', 'NECAB2', 'SET', 'RBM8A', 'BRI3', 'WBP2', 'MRPS36', 'RPL11', 'AK1', 'RPN1', 'VPS4A', 'RPS27L', 'TMEM160', 'TIMM10', 'LAGE3', 'STK3', 'APH1A', 'OS9', 'TCEAL4', 'TDG', 'CAMK2N2', 'RPS3', 'RPL13', 'SERF2', 'PPARGC1B', 'RPL19', 'ATP6V1F', 'GCH1', 'SETDB1', 'IDH1', 'GBF1', 'VEGFB', 'DOHH', 'MANBAL', 'RPS25', 'SPCS2', 'RPS27', 'MC1R', 'PIK3IP1', 'FAM151B', 'ARPC3', 'ETNK1', 'IMPDH2', 'ASB8', 'CROCC', 'FAM98C', 'BAX', 'UBA1', 'NOL12', 'ZNF335', 'RPS21', 'RPS24']",0.315379567852597,0,0,91,"NR1H3",0.315379567852597,0.262814860247566,0.0465352974105701,0.652324527234159,0.653707507290102,0.732551910022944,0.881250410367735,0.593880055165205
"MYC (mouse)",0.00805880461999088,1.33359599556933,6.42925301687453,"['RPL5', 'RPL30', 'ARHGDIG', 'GOLIM4', 'FGF1', 'SRP14', 'CLGN', 'COMTD1', 'RPS19', 'TRIM28', 'STMN1', 'PIM1', 'SLC39A7', 'SEC62', 'RPS12', 'ATP6V1G1', 'SSU72', 'RPSA', 'MIF', 'CPT1B', 'DPM2', 'TMEM126A', 'ASPHD2', 'SNRPF', 'TLN1', 'ATP6V0D1', 'BEX4', 'CUTA', 'ATP6V1A', 'SET', 'BRI3', 'AK1', 'COPS7A', 'ZBTB5', 'OAZ1', 'CPLX3', 'PRDX5', 'LDHA', 'RAB11FIP1', 'BLOC1S1', 'SERF2', 'SURF1', 'FAM78B', 'POLR3GL', 'SURF2', 'ZFR2', 'TRAPPC5', 'TDRD9', 'BTBD6', 'MANBAL', 'MANF', 'RPS28', 'DLG1', 'UQCRQ', 'FGFR2', 'RPS23', 'ACHE', 'MCFD2', 'RPLP1', 'DIRAS1', 'MAGT1', 'ARRB2', 'MRPL40', 'RPLP2', 'CTSF', 'NDEL1', 'LEFTY1', 'H2AFZ', 'SSR2', 'TNFRSF19', 'NME2', 'RPL13A', 'PPRC1', 'COPZ1', 'NME1', 'CORT', 'VGF', 'PFDN4', 'PTMA', 'DCTPP1', 'PCYOX1', 'ATG4D', 'ODC1', 'GPS2', 'UQCR11', 'PSMB10', 'SRM', 'ATP6AP1L', 'TCEAL6', 'PHKG1', 'CCDC85B', 'DDT', 'RPL14', 'TAF9B', 'NOP56', 'NDUFA7', 'B3GAT2', 'DOHH', 'GTF2H5', 'SPSB3', 'LPCAT4', 'ASXL3', 'APEX1', 'CROCC', 'BAX', 'PTPN9', 'CBLN4', 'TOMM5', 'PPIL6']",0.315379567852597,0,0,109,"MYC",0.315379567852597,NA,NA,NA,NA,NA,NA,NA
"HIF1A (human)",0.00826288339542153,1.32710962478009,6.36479343852636,"['RPL3', 'CEP120', 'RPS15', 'EEF1B2', 'UXT', 'BANF1', 'SNRNP35', 'RPS10', 'RPL39', 'ACAD10', 'RPS13', 'SCN1B', 'UNC13B', 'ST6GAL2', 'RPS6', 'SHISA5', 'AP1B1', 'SSU72', 'KAZN', 'RPSA', 'ACYP1', 'VRK3', 'COX6B1', 'RNF41', 'NEIL2', 'TXLNB', 'DDX39B', 'MRTO4', 'SNRPG', 'NHP2', 'RPL24', 'JTB', 'RPL29', 'RPP25', 'MZF1', 'SRSF7', 'BEX4', 'CUL7', 'RPS19BP1', 'RPN1', 'COX7A2', 'ATXN7L3B', 'COX7A1', 'C12ORF57', 'GOLGA7B', 'BLOC1S1', 'ERI2', 'ATG7', 'TMEM184C', 'CHKA', 'TBCC', 'BTBD8', 'EIF1', 'RPS26', 'TMEM232', 'MKRN1', 'NF2', 'TMEM19', 'TMEM9B', 'RPS23', 'BEX5', 'COX7B', 'SLC25A3', 'MCFD2', 'MAGT1', 'RPS4X', 'MAP1LC3A', 'SUMO1', 'SUMO2', 'C9ORF16', 'TMED2', 'CTSF', 'NDEL1', 'CTSB', 'IFNGR2', 'DDX56', 'HAUS4', 'MRPL47', 'EDF1', 'PLRG1', 'COASY', 'COPZ1', 'CORT', 'SLC25A17', 'PALLD', 'RASA4', 'NDUFS5', 'DCTPP1', 'HEPN1', 'RPL10', 'WBP2', 'GMPR2', 'NDUFB3', 'GPS2', 'FURIN', 'HSD17B12', 'COX5A', 'PSMB10', 'RPS15A', 'PSMB5', 'DDT', 'RAB24', 'RPS3', 'RPL13', 'DMD', 'RPL17', 'GDF11', 'TAF13', 'DOHH', 'MYO19', 'MFAP1', 'FAU']",0.315379567852597,0,0,112,"HIF1A",0.315379567852597,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"IKZF1 (human)",0.00936739382033357,1.35958315065259,6.3499607893081,"['RPL5', 'RPL30', 'CUEDC2', 'MCFD2', 'COX6A1', 'TMEM141', 'RPS15', 'RPTOR', 'RPS14', 'MED11', 'COMTD1', 'RPS16', 'MAP1LC3A', 'RPL18A', 'SUMO1', 'C9ORF16', 'CDK5RAP1', 'TMED2', 'CTSF', 'SNRNP35', 'RPS10', 'RALGPS1', 'LRRC47', 'MRPS26', 'ENDOG', 'RPS7', 'FBXO2', 'DCAKD', 'DHPS', 'PAM16', 'SHISA5', 'AP1B1', 'HAUS4', 'NME2', 'ATP1B2', 'CNPY3', 'GPRIN3', 'CORT', 'DDX19B', 'MYL6', 'FNDC4', 'RASA4', 'RPL7L1', 'RPL27', 'ASPHD2', 'CHMP4A', 'MAPRE1', 'OTUB1', 'SRSF9', 'NECAB2', 'NDUFB8', 'TMEM87B', 'SET', 'RPL10', 'KLHL15', 'RPL11', 'RPN1', 'VPS4A', 'NOL3', 'C12ORF57', 'C7ORF50', 'PHKG1', 'UBB', 'BLOC1S1', 'DDRGK1', 'RPL13', 'RPS2', 'APOE', 'SERF2', 'ATP6V1F', 'NKTR', 'PPP1R14A', 'GABBR1', 'PTPRN2', 'SNAPIN', 'GREB1', 'GBF1', 'DAB2IP', 'TBCC', 'DOHH', 'SPSB3', 'RPS27', 'PIK3IP1', 'APEX1', 'CROCC', 'TCEA3', 'TAF6', 'FAU', 'NOL12', 'TOMM6', 'GRINA']",0.315379567852597,0,0,91,"IKZF1",0.315379567852597,NA,NA,NA,NA,NA,NA,NA
"YY1 (mouse)",0.0101408221174468,1.31188748886343,6.02311974457548,"['PANK4', 'NDUFA13', 'RPL3', 'RPL32', 'POP4', 'RPL10A', 'CELSR2', 'HDDC3', 'RPL7', 'RPS15', 'RPL36', 'HMGN2', 'RPS10', 'TBC1D22A', 'TNS3', 'NOMO1', 'ENDOG', 'FBXO2', 'MRPS18B', 'PPP1R3F', 'RPP21', 'JTB', 'RPL26', 'FKBP3', 'RPL28', 'CUTA', 'PFKFB2', 'CUL7', 'NDUFB11', 'CCDC148', 'COPS7A', 'MRPL14', 'UQCRH', 'MRPL20', 'MAN2A1', 'MBP', 'APOE', 'LHPP', 'FIS1', 'KLHDC3', 'SURF1', 'SNAPIN', 'H3F3B', 'ZFR2', 'ST8SIA2', 'EIF2AK1', 'TMEM132A', 'BTBD6', 'CORO2B', 'DRAP1', 'RPS25', 'RPS28', 'LSM7', 'DLG1', 'EFNA3', 'RPL27A', 'MKRN1', 'RFXAP', 'PSMG3', 'GALNTL6', 'NF2', 'CLPTM1L', 'ROBO2', 'SERP2', 'RPL7A', 'SUMO1', 'LRRC47', 'SLC13A3', 'HSP90AA1', 'DUSP3', 'GSTO1', 'RPL13A', 'NDUFC1', 'MRPL47', 'DUSP28', 'COMMD6', 'PPRC1', 'RGMB', 'MRPL46', 'NME1', 'NDUFS8', 'GORASP1', 'NDUFS3', 'MAPRE1', 'PTMA', 'GRAMD1B', 'NDUFB7', 'USP11', 'NDUFB2', 'COX5B', 'TSPAN31', 'SRM', 'SPOCK2', 'RPL14', 'RPS3', 'TMEM208', 'PCBD1', 'SCAND1', 'RPL15', 'GADD45GIP1', 'NOP56', 'RANBP1', 'PPP1R14A', 'NDUFA6', 'YIPF3', 'BAD', 'DAB2IP', 'RPL35A', 'DOHH', 'TPD52L1', 'SPSB3', 'RUNDC1', 'PTPN9', 'FAU']",0.315379567852597,0,0,114,"YY1",0.315379567852597,0.0472173512656153,0.109903419665039,NA,NA,NA,0.927367548052344,0.443098219003713
"CRX (human)",0.0246639786892659,1.27649157165839,4.72609701385212,"['RPL3', 'ATP8A2', 'NDUFA11', 'NDUFA12', 'COX6A1', 'RPL6', 'TXN2', 'COMTD1', 'RPL18A', 'TRIM28', 'RPL36', 'SNRNP35', 'RPS10', 'ZNF562', 'GABARAPL1', 'ST6GAL1', 'ATP6V1G1', 'RPS8', 'AP1B1', 'ATP1B2', 'CNPY3', 'COX6B1', 'RNF41', 'MYL6', 'RPL7L1', 'SNRPG', 'RPL24', 'RPL29', 'SRSF7', 'PLBD2', 'CUL7', 'SET', 'KLHL15', 'MCHR1', 'PRPF8', 'APH1A', 'C7ORF50', 'UBB', 'BLOC1S1', 'DDRGK1', 'FIS1', 'RPL41', 'SNAPIN', 'EIF2AK1', 'SNUPN', 'RPS27', 'NACA', 'MKRN1', 'PSMG3', 'UBA1', 'RPS24', 'MCFD2', 'MAGT1', 'RND2', 'DHTKD1', 'RPTOR', 'MAP1LC3A', 'SUMO1', 'TMED2', 'CTSF', 'EIF2B1', 'GPX4', 'IFNGR2', 'DHPS', 'HAUS4', 'NME2', 'RPS3A', 'GLRX2', 'SYP', 'COASY', 'NME1', 'MZT2B', 'DDX19B', 'RASA4', 'UFC1', 'TMEM219', 'MAPRE1', 'OTUB1', 'CSTB', 'RPL10', 'VPS4A', 'COX5A', 'LAGE3', 'PSMB5', 'AP2S1', 'RPL13', 'SCAND1', 'RABAC1', 'GADD45GIP1', 'PPP1R14A', 'CENPV', 'TAF13', 'MDH2', 'GSS', 'BCKDK', 'MFAP1', 'BAX', 'NAA16', 'TAF6', 'FAU']",0.614219766757483,0,0,100,"CRX",0.614219766757483,NA,NA,NA,NA,NA,NA,NA
"HNF1B (mouse)",0.0262417588497778,5.82255083179298,21.1964331915383,"['NDUFB8', 'RIPK2', 'CTSF', 'OSGIN2']",0.614219766757483,0,0,4,"HNF1B",0.614219766757483,NA,NA,NA,NA,NA,NA,NA
"PPARG (human)",0.0267682583878446,1.18530469801695,4.29144127197206,"['IFI27L2', 'RPL3', 'RPL8', 'RPL6', 'RPS15', 'SCAMP5', 'RPS14', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'NAMPT', 'RPS10', 'CHGB', 'UNC13B', 'GABARAPL1', 'ST6GAL1', 'ST6GAL2', 'DAPK1', 'AP1B1', 'LARS2', 'MYL6', 'NEIL2', 'DDX39B', 'RPL24', 'HECA', 'ASPHD2', 'VDAC1', 'RPL26', 'RPL29', 'UBA52', 'PRR14', 'PLBD2', 'NECAB2', 'BEX1', 'SET', 'RPN1', 'MRPL16', 'MRPL14', 'C12ORF57', 'BLOC1S1', 'SERF2', 'PPARGC1B', 'LHPP', 'RBM11', 'GSDMB', 'SURF1', 'EIF2AK1', 'SETDB2', 'OSGIN2', 'EIF1', 'THAP11', 'RPS26', 'RPS25', 'RPS27', 'MC1R', 'PSMG3', 'NOL12', 'RPS21', 'KIAA0825', 'RPS24', 'ZNF134', 'DAZAP2', 'MAGT1', 'COX7C', 'RPTOR', 'MED11', 'RARS', 'MED10', 'TMED2', 'CTSF', 'RALGPS1', 'MAP4K2', 'MRPS26', 'RIPK2', 'SSR2', 'MRPL47', 'SYP', 'COMMD1', 'SRP9', 'MZT2B', 'UFC1', 'CD63', 'TOMM40', 'PCNA', 'URM1', 'TIMM13', 'RPS27L', 'UQCR11', 'TMEM160', 'UQCR10', 'TIMM10', 'AKAP5', 'NOL3', 'COX5A', 'PSMB6', 'PSMB5', 'OS9', 'TCEAL4', 'RPL14', 'AP2S1', 'RPS3', 'RPL13', 'CD59', 'DMD', 'SCAND1', 'RABAC1', 'RPL19', 'RANBP1', 'GIT2', 'GABBR1', 'ZNF460', 'ADAT1', 'VEGFB', 'RSRC2', 'DOHH', 'RANBP6', 'TMEM59', 'SPCS2', 'NFIA', 'ETNK1', 'ATP8A2', 'NDUFA12', 'PCDH11X', 'SAT2', 'PARK7', 'RPL10A', 'COX6A1', 'HDDC3', 'TXN2', 'HMGN2', 'ZNF564', 'VPS33B', 'RPSA', 'ACYP1', 'CNPY3', 'COX6B1', 'C1ORF122', 'RNF41', 'ZNF91', 'RPL7L1', 'SPNS1', 'NHP2', 'SCG3', 'SRSF7', 'FTL', 'ENY2', 'BRI3', 'KLHL13', 'STK3', 'UBB', 'ZNF302', 'ATP6V1F', 'RAB4B', 'KLHL25', 'CORO2B', 'LSM4', 'LSM3', 'SYT6', 'BMP3', 'EFNA3', 'BCL6', 'ARPC3', 'NACA', 'OSTC', 'UBA1', 'YWHAE', 'SLC25A3', 'COX4I1', 'MEA1', 'USE1', 'SUMO1', 'ACP2', 'MDP1', 'SLC13A3', 'GPX4', 'DCAKD', 'NDUFC1', 'GLRX2', 'C4ORF48', 'COASY', 'CORT', 'RCN1', 'HAX1', 'IGDCC4', 'PALLD', 'RASA4', 'POLR1B', 'TMEM219', 'GAPDH', 'OTUB1', 'WBP2', 'RGS16', 'VPS4A', 'RPL36A', 'CLCN3', 'PHKG1', 'TDG', 'NHS', 'AAMP', 'POLR2K', 'NDUFA6', 'NDUFA2', 'RPL35A', 'S100B', 'MYO19', 'USH2A', 'ACVR2A', 'BCKDK', 'PIK3IP1', 'MFAP1', 'FAM98C', 'EIF3D', 'TPT1']",0.614219766757483,0,0,214,"PPARG",0.614219766757483,1.62112938045234e-05,0.0949383941699264,0.782312287524077,0.78284877905673,-0.366402862715901,0.00614568995147202,0.102248737488678
"GFI1 (human)",0.0277980376645388,1.26532906390516,4.533408125024,"['RPL3', 'ATP8A2', 'SAT2', 'COX6A1', 'TXN2', 'RPS14', 'COMTD1', 'CDK5RAP1', 'SNRNP35', 'RPS10', 'RPS13', 'NOMO1', 'ZNF562', 'ST6GAL1', 'ST6GAL2', 'RPS7', 'FBXO2', 'CNPY3', 'MYL6', 'RPL7L1', 'MRTO4', 'SNRPG', 'NHP2', 'ERH', 'UBA52', 'SRSF7', 'SET', 'PRPF8', 'APH1A', 'GOLGA7B', 'ZMAT1', 'UBB', 'BLOC1S1', 'DDRGK1', 'SERF2', 'RPL41', 'SNAPIN', 'LSM4', 'SNUPN', 'RPS26', 'RPS27', 'TMEM115', 'NACA', 'MKRN1', 'PSMG3', 'NF2', 'NOL12', 'YWHAE', 'SLC25A3', 'MCFD2', 'USE1', 'MED11', 'SUMO1', 'OPA3', 'SUMO2', 'RPLP2', 'CTSF', 'RALGPS1', 'CTSB', 'GPX4', 'DCAKD', 'IFNGR2', 'DHPS', 'HAUS4', 'SLC39A11', 'NME2', 'RPS3A', 'SYP', 'COASY', 'DDX19B', 'SLC25A17', 'RASA4', 'IVD', 'UFC1', 'TMEM219', 'DNAJC8', 'MAPRE1', 'OTUB1', 'NDUFB8', 'RPL11', 'NDUFB3', 'NOL3', 'COX5A', 'PPM1E', 'PSMB6', 'PSMB5', 'PHKG1', 'RPL13', 'RABAC1', 'GADD45GIP1', 'PPP1R14A', 'CENPV', 'TAF13', 'MDH2', 'DOHH', 'SPSB3', 'SPCS1', 'BAX', 'NAA16', 'TAF6', 'FAU', 'EIF3D']",0.614219766757483,0,0,102,"GFI1",0.614219766757483,NA,NA,NA,NA,NA,NA,NA
"RELA (mouse)",0.0296247475928047,1.25555918367347,4.41849507408494,"['NDUFA11', 'POP4', 'PHAX', 'FGF1', 'RPL10A', 'COX6A1', 'STK10', 'RPL36AL', 'RPS18', 'NAMPT', 'STMN1', 'BANF1', 'KCNH1', 'RPL21', 'SLC30A3', 'S100A1', 'TINF2', 'SSU72', 'RFX3', 'VRK3', 'DPM2', 'MYL6', 'SNRPG', 'HECA', 'SNRPF', 'PHPT1', 'NECAB2', 'CUL9', 'TMEM87B', 'ANKRD16', 'RBM8A', 'CCDC148', 'PCDH10', 'AK1', 'MRPL14', 'SEZ6L2', 'UQCRH', 'ZMPSTE24', 'UBE2J1', 'ZMAT2', 'GRK4', 'ERI2', 'CCDC30', 'G3BP2', 'ZFR2', 'TRAPPC5', 'BTBD6', 'TMEM198', 'DRAP1', 'COL5A1', 'RPL27A', 'PDE3A', 'CYCS', 'MKX', 'FAT4', 'CLPTM1L', 'ADPGK', 'COX4I1', 'CLTC', 'MAP1LC3A', 'SUMO1', 'OPA3', 'NDEL1', 'GPX4', 'BUD31', 'IFNGR2', 'NME3', 'SORCS3', 'ALDH5A1', 'VGF', 'TRAF3', 'RASA4', 'CDH11', 'PFDN4', 'GAPDH', 'RBMS2', 'USP14', 'SLC24A4', 'TOMM40', 'DCTN3', 'VPS4A', 'GPS2', 'FURIN', 'NOL3', 'TCEAL5', 'PARD6A', 'TDG', 'RPL15', 'POLR2L', 'NKTR', 'RANBP1', 'SPAG7', 'GABBR1', 'NDUFA7', 'NAP1L5', 'TMCO1', 'BCKDK', 'HIST3H2A', 'PSMC4', 'ASXL3', 'ETNK1', 'HNRNPA2B1', 'TCEA3', 'TOMM7', 'CBLN4', 'TPT1']",0.614219766757483,0,0,106,"RELA",0.614219766757483,0.316465272781695,0.858330496127523,NA,NA,NA,0.435719451263477,0.77821031152388
"SNAI2 (human)",0.0362800200783204,1.28034115138593,4.24623619290692,"['PANK4', 'DAZAP2', 'ACHE', 'NDUFA11', 'CELF1', 'MPG', 'MYL6B', 'FGF1', 'TXNDC17', 'LCNL1', 'MAP1LC3A', 'TMSB4X', 'C9ORF16', 'PIM3', 'HMGN2', 'ZNF562', 'LRRC47', 'MAP4K2', 'TRAPPC2L', 'ADPRHL2', 'DHPS', 'SHISA5', 'NME2', 'MRPL47', 'SYNGR3', 'CORT', 'IQCK', 'DDX19B', 'ZNF91', 'NDUFS8', 'RPL7L1', 'S100A6', 'PHPT1', 'UBA52', 'OTUB1', 'ATG4D', 'CSTB', 'CUL7', 'SET', 'BRI3', 'WBP2', 'AK1', 'MRPS34', 'MRPL14', 'NOL3', 'COX5A', 'GOLGA7B', 'PHKG1', 'SCFD2', 'DDRGK1', 'DMD', 'RPS2', 'LONRF1', 'SERF2', 'ATP6V1F', 'NPDC1', 'GSDMB', 'SURF1', 'RAB4A', 'NDUFA6', 'GCH1', 'WSCD1', 'EIF2AK1', 'TRAPPC5', 'CYHR1', 'DAB2IP', 'VEGFB', 'DOHH', 'BTBD6', 'RANBP6', 'CORO2B', 'DRAP1', 'SH3YL1', 'LSM7', 'SPCS2', 'EFNA3', 'PIK3IP1', 'CALY', 'CROCC', 'NAA16', 'UBA1']",0.626838124686536,0,0,81,"SNAI2",0.626838124686536,NA,NA,NA,NA,NA,NA,NA
