GENE_SYMBOLS,refseq_ids
NME1,NM_000269
MIS12,NM_001258217
SNRPE,NM_001304464
P3H1,NM_001146289
MZT2A,NM_001085365
GALNT13,NM_001301627
SLC6A6,NM_001134367
RPSA,NM_001304288
RPL34,NM_000995
NDUFS6,NM_004553
HCN1,NM_021072
GALNT10,NM_017540
PLA2G7,NM_001168357
ABCB4,NM_000443
ATP5MF,NM_001003713
FMC1,NM_197964
SLC4A2,NM_001199692
TMUB1,NM_001136044
LRRC6,NA
SELENOH,NM_001321335
FAU,NM_001997
TIMM8B,NM_012459
MGST1,NM_001260511
ARHGAP9,NM_001080156
ADAMTS17,NM_139057
FLII,NM_001256264
NEUROD2,NM_006160
ABCA7,NM_019112
IRGQ,NM_001007561
TBC1D17,NM_001168222
RPS19BP1,NM_194326
TEF,NM_001145398
TUBB3,NM_001197181
HMCES,NM_001006109
MMRN1,NM_001371403
PPIB,NM_000942
LZTS3,NM_001282533
CLSTN2,NM_022131
NUDCD2,NM_001329991
RPL10A,NM_007104
FIS1,NM_016068
LTBR,NM_001270987
RPS15A,NM_001019
GADD45GIP1,NM_052850
TXLNA,NM_001376857
CAMK1G,NM_020439
UFSP2,NM_018359
TOMM7,NM_019059
RPLP1,NM_001003
CKLF,NM_001040138
RPL26,NM_000987
TMSB10,NM_021103
KIAA0319,NM_001168374
NDUFB2,NM_004546
SNHG6,NR_002599
RPL21,NM_000982
ADCY9,NM_001116
TANC1,NM_001145909
COPS9,NM_001163424
POGLUT1,NM_152305
TMEM108,NM_001136469
GABRG1,NM_173536
FGF2,NM_001361665
RPS18,NM_022551
THSD7A,NM_015204
RIMS2,NM_001100117
RPL12,NM_000976
SRP14,NM_001309434
RPS2,NM_002952
TNFSF13,NM_001198622
ANAPC11,NM_001002244
ATP5F1E,NM_006886
RPL36A,NM_001199972
SGCE,NM_001099400
RPL7,NM_000971
