"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"IKZF1 (mouse)",8.43773836983485e-07,1.89051789183028,26.4396136547484,"['SEMA5A', 'PNMT', 'HSPB8', 'CCNF', 'ELK3', 'LFNG', 'RASSF3', 'GLIPR2', 'COL10A1', 'A4GALT', 'TOP3B', 'TLE2', 'KCND3', 'GAB1', 'ARID5B', 'KCNAB1', 'RTN4RL2', 'PDZK1', 'EMP3', 'IL17RB', 'PTP4A3', 'ACAP1', 'RNF125', 'SYNPO2L', 'PARD3', 'SLC9A9', 'SERPING1', 'FAM20C', 'KCNQ4', 'CHI3L1', 'NUPR1', 'CCDC151', 'CRYAB', 'DNASE1L1', 'PFKFB2', 'COX19', 'PON3', 'NUMBL', 'SHC1', 'SLC43A3', 'LYPD1', 'TNFRSF11B', 'PLA2G5', 'TIMM10', 'ATP2C2', 'FUT2', 'SAMHD1', 'GRAMD4', 'JAKMIP3', 'HMBOX1', 'PDLIM2', 'RASD1', 'NACC2', 'CDH23', 'SLC19A3', 'FLNA', 'USP51', 'S1PR3', 'ARSG', 'AMZ1', 'RELT', 'TRIM45', 'VASP', 'SEMA4A', 'HHATL', 'ARHGEF37', 'NEK5', 'CMTM5', 'WNT7B', 'PLEKHA5', 'ORMDL1', 'PYCR1', 'SMAD9', 'NFATC2', 'TM6SF1', 'VEGFA', 'NFKB2', 'SMTN', 'COL5A1', 'FXYD3', 'PAH', 'LYPD6B']",0.000245538186562194,0,0,82,"IKZF1",0.000245538186562194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMD9L (human)",7.37815460925089e-05,1.67430543810827,15.9300148592206,"['CRTC2', 'SERPINE3', 'WIPF1', 'PROS1', 'FAM107A', 'ARHGAP39', 'ABCC11', 'LFNG', 'GLIPR1', 'C20ORF203', 'C1QTNF7', 'RNF19A', 'ENPP3', 'MAP3K6', 'STARD3', 'APOBEC2', 'TSTD1', 'SP110', 'MYH15', 'FBXO2', 'ACTN1', 'ACSL6', 'FAM118A', 'MMD2', 'DLEC1', 'EMP3', 'ACTA2', 'TPST1', 'PTP4A3', 'PALLD', 'HKDC1', 'S100A6', 'CHI3L1', 'HAP1', 'SHANK2', 'DNASE1L1', 'DDR2', 'COX19', 'OAT', 'SEZ6', 'ATP2C2', 'NEU4', 'CDH23', 'CD59', 'S1PR3', 'BEND7', 'HES5', 'TRPM4', 'BANP', 'EGR1', 'RASL10A', 'GADD45A', 'EPHX1', 'STARD10', 'ATP2B4', 'SCLT1', 'HMGA2', 'IFI44', 'LHFPL1', 'FBXO32', 'GCK', 'AIF1L', 'VEGFA', 'TMEM155', 'SMTN', 'BMP1', 'NEDD4', 'ID2', 'PI15', 'IFT27', 'PSMG4', 'FILIP1', 'PNPLA6', 'LTBR', 'PTPN7', 'MYD88']",0.01073521495646,0,0,76,"SAMD9L",0.01073521495646,0.0842567820543932,0.359929290136534,0.900075159079615,NA,0.0278715259731337,0.299186741550851,0.244519246109004,NA,NA,NA,NA
"ETV4 (human)",0.000215852007595642,1.63605943113622,13.8098427407808,"['SEMA5A', 'CPNE8', 'CRTC2', 'SLC44A3', 'TMEM140', 'WDR88', 'RGS4', 'LFNG', 'TUBA1C', 'CCND2', 'UBASH3B', 'SPR', 'C7ORF31', 'PDE8B', 'C16ORF74', 'EYS', 'STARD3', 'PAQR6', 'SP110', 'IFRD1', 'SHISA5', 'EBF1', 'BGN', 'NRG1', 'PDZK1', 'ACAP1', 'FNDC4', 'VGF', 'ANGPTL2', 'FAM20C', 'KIFC3', 'L3MBTL4', 'FKBP5', 'KANK2', 'PPM1M', 'AMIGO2', 'ATP1A4', 'PKD1L1', 'ARHGAP18', 'ALOX12', 'VWCE', 'TIMM10', 'AEBP1', 'ZNF69', 'MUC1', 'CD59', 'RPRML', 'CD58', 'GABRA2', 'SEMA4A', 'EGR1', 'SLC14A2', 'PCP4L1', 'LIMK2', 'KCNJ14', 'SAMD4A', 'HSPA2', 'TM6SF1', 'DGAT2L6', 'GPN1', 'C1ORF61', 'NAP1L5', 'GCK', 'ACER2', 'BHLHE40', 'PNPLA3', 'PDCD4', 'IFT27', 'RADIL', 'PTPN7', 'HSPA1B']",0.0176748101299438,0,0,71,"ETV4",0.0176748101299438,0.251024101685346,0.546973970543842,NA,NA,NA,0.180020699535033,0.14867642449877,NA,NA,NA,NA
"JUN (human)",0.000260770088023491,1.42438090982822,11.7538081319031,"['C8ORF48', 'STEAP3', 'IFITM2', 'SERPINE3', 'WIPF1', 'TUSC1', 'TNC', 'CXCL17', 'PLOD3', 'CIB2', 'SAT1', 'IFI44L', 'NUDT11', 'ENDOU', 'GNPTAB', 'RASSF3', 'TRIM29', 'C7ORF31', 'C1RL', 'PLCE1', 'PIM3', 'EPHB1', 'CALN1', 'RNF43', 'TLE2', 'SLC38A1', 'SP110', 'IFRD1', 'PIPOX', 'ZNF10', 'SYTL4', 'CYP39A1', 'ADCYAP1', 'CLDN4', 'C1ORF115', 'SLC9A9', 'S100A6', 'SCG2', 'PFKFB2', 'COX19', 'MAOB', 'CFI', 'AEBP1', 'SLC5A3', 'NDRG1', 'HMBOX1', 'NEU4', 'RRS1', 'USP51', 'ARSG', 'TRPM4', 'SLC19A2', 'FZD1', 'VASP', 'BARD1', 'BDNF', 'GADD45A', 'EPHX1', 'PTCH2', 'BTBD11', 'NMI', 'GPN1', 'AIF1L', 'GFAP', 'ANKRD20A4', 'BHLHE40', 'IFT27', 'GNRH1', 'EFHB', 'ITM2A', 'MYD88', 'C19ORF48', 'PCSK1', 'SFTA3', 'SERPINA3', 'HSPB8', 'HSPB1', 'ABCC11', 'SYNE2', 'HK2', 'LFNG', 'GLIPR1', 'C20ORF203', 'C1QTNF7', 'ENC1', 'GNRHR', 'TCP11L2', 'C16ORF74', 'YWHAG', 'RSPO4', 'YWHAH', 'TOP3B', 'CHST6', 'CHST7', 'APOBEC2', 'NRG1', 'TMC7', 'F3', 'SMC1B', 'TNFRSF1A', 'FCHSD1', 'DUSP22', 'BACE2', 'ITPKC', 'VGF', 'PALLD', 'HKDC1', 'DNASE1L1', 'DDR2', 'ITIH4', 'LAMA5', 'CEBPB', 'PPM1M', 'C17ORF58', 'AMIGO2', 'SEZ6', 'ATP1A4', 'TTN', 'TCEAL7', 'PDLIM2', 'MAL2', 'CD59', 'METTL7B', 'BEND7', 'RELT', 'TRIM45', 'GABRA2', 'SEMA4A', 'AADAT', 'EGF', 'CMTM5', 'ADAM33', 'GCK', 'KLF2', 'NEDD4', 'TSPAN18', 'PI15', 'PNPLA6', 'EVI2B']",0.0176748101299438,0,0,139,"JUN",0.0176748101299438,0.604942726536877,0.28734308903313,NA,NA,NA,0.941173373251647,0.990587778372604,NA,NA,NA,NA
"KLF11 (human)",0.000303690895703502,1.62523775048164,13.1636134270349,"['PNMT', 'PLEKHF1', 'FAM89A', 'CCNF', 'FAM107A', 'HSPB2', 'LFNG', 'SPRED3', 'DOCK11', 'C20ORF203', 'ZFP36', 'CCND2', 'PIM3', 'STK32A', 'SAMD11', 'HES6', 'PAQR6', 'IZUMO4', 'KCND3', 'ACTN1', 'CIRBP', 'MMD2', 'SLC39A14', 'IL17RB', 'PSG8', 'CLDN4', 'VGF', 'IRF7', 'SERPING1', 'KCNQ4', 'MAPRE2', 'CRYAB', 'SHANK2', 'LAMA5', 'NOTCH3', 'CEBPB', 'C3ORF70', 'NXPH3', 'SHC1', 'SLC1A2', 'NLRC5', 'NEU4', 'PDLIM2', 'DNAJB5', 'FLNA', 'HES1', 'AMZ1', 'HES4', 'VASP', 'HHATL', 'HSD3B7', 'EGR3', 'GINS3', 'EPHX1', 'KCNJ14', 'AHNAK2', 'ATP2B4', 'C1ORF61', 'NAP1L5', 'GFAP', 'EFNA1', 'NR4A1', 'FXYD3', 'FASN', 'SHKBP1', 'BHLHE40', 'TCAP', 'PNPLA6', 'PTPN7']",0.0176748101299438,0,0,69,"KLF11",0.0176748101299438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLF4 (human)",0.000560860498553064,1.56426716689787,11.7101639995492,"['SEMA5A', 'PNMT', 'PLEKHF1', 'FAM89A', 'CCNF', 'FAM107A', 'HSPB2', 'LFNG', 'SPRED3', 'DOCK11', 'C20ORF203', 'ZFP36', 'CCND2', 'PIM3', 'STK32A', 'SAMD11', 'HES6', 'PAQR6', 'IZUMO4', 'KCND3', 'ACTN1', 'CIRBP', 'EBF1', 'MMD2', 'SLC39A14', 'IL17RB', 'PSG8', 'CLDN4', 'ACAP1', 'VGF', 'IRF7', 'SERPING1', 'KCNQ4', 'MAPRE2', 'CRYAB', 'SHANK2', 'LAMA5', 'NOTCH3', 'CEBPB', 'C3ORF70', 'NXPH3', 'SHC1', 'SLC1A2', 'NLRC5', 'NEU4', 'PDLIM2', 'DNAJB5', 'FLNA', 'HES1', 'AMZ1', 'HES4', 'VASP', 'BARD1', 'HHATL', 'HSD3B7', 'EGR3', 'GINS3', 'EPHX1', 'KCNJ14', 'AHNAK2', 'ATP2B4', 'C1ORF61', 'NAP1L5', 'GFAP', 'EFNA1', 'NR4A1', 'FXYD3', 'FASN', 'SHKBP1', 'BHLHE40', 'TCAP', 'PNPLA6', 'PTPN7']",0.0272017341798236,0,0,73,"KLF4",0.0272017341798236,0.998478381860816,0.497760710341838,NA,NA,NA,0.253275976225389,0.000269985396287466,NA,NA,NA,NA
"STAT5B (mouse)",0.00178148196530891,1.50149868864743,9.50495170770806,"['CNTNAP3', 'ABCD4', 'CLIC4', 'FAM89A', 'WIPF1', 'DIRAS2', 'MEI4', 'FAM107A', 'TNC', 'NRARP', 'SAT1', 'BACH2', 'RBM3', 'ENDOU', 'C1QTNF7', 'EPHB1', 'IFNAR2', 'GPR39', 'ST6GAL1', 'HGF', 'VWA5A', 'EMP3', 'ETV6', 'CYP39A1', 'DUSP22', 'TANC1', 'VGF', 'PALLD', 'CHDH', 'SERPING1', 'MYH9', 'PIGM', 'PRKCQ', 'KIFC3', 'DNASE1L1', 'PFKFB2', 'ITIH4', 'PFKFB1', 'IGSF1', 'MVP', 'LYPD1', 'NOD1', 'NDRG1', 'SOCS3', 'NT5E', 'RPRML', 'ARSG', 'MAP2K6', 'SEMA4A', 'SMAD1', 'EGR1', 'YTHDF1', 'DENND4A', 'CEP152', 'LIMK2', 'ESRRB', 'DDIT4L', 'NAP1L5', 'HIPK3', 'VASN', 'GFAP', 'MGAT4C', 'KLF6', 'TTLL4', 'BCL6', 'PDCD4', 'PNPLA6', 'CBLN4', 'RAD18', 'GPR19']",0.0740587502721276,0,0,70,"STAT5B",0.0740587502721276,0.000155269347668341,0.0497585290838214,NA,NA,NA,0.957309057081346,0.920411494653658,0.834937268788144,0.96476018010281,NA,0.730994277723856
"NFIA (human)",0.00236142074746739,1.50426293458808,9.09852206918878,"['PNMT', 'CRTC2', 'CSF1', 'DIRAS2', 'IFI44L', 'HK2', 'LFNG', 'AKAP12', 'GNPTAB', 'GPR135', 'DST', 'SP110', 'ACTN1', 'ACSL6', 'BGN', 'PIPOX', 'NRG1', 'F3', 'ITPKC', 'ACAP1', 'DAAM2', 'FREM1', 'CRYAB', 'EMID1', 'FKBP5', 'ITIH4', 'MAOB', 'TMPRSS3', 'SEZ6', 'PLA2G5', 'AEBP1', 'GRAMD4', 'HSD17B8', 'SNX31', 'CYP3A7', 'SOCS3', 'NEU4', 'FAM124A', 'PDLIM2', 'APOL6', 'MARVELD1', 'NNAT', 'ATOH8', 'GSG1L', 'CD59', 'METTL7B', 'BCO2', 'BEND7', 'AMZ1', 'RELT', 'HES5', 'BANP', 'HHATL', 'HSD3B7', 'CEP152', 'LIMK2', 'NFATC2', 'BTBD11', 'GCK', 'VASN', 'TTLL6', 'ANKRD20A4', 'SYCP3', 'PTPN7', 'CBLN4']",0.0858966796891262,0,0,65,"NFIA",0.0858966796891262,0.000164317318813376,0.0322623431923887,0.99718275579958,0.99708533564589,-0.007550496463556,0.67877857131807,0.720398404870112,0.657894834943736,0.861345070027022,NA,0.311574679510827
"ZNF148 (human)",0.00273059868968089,1.45326684567191,8.57897482641796,"['CNTNAP3', 'PNMT', 'CPNE8', 'PLEKHF1', 'IFITM2', 'C2CD2', 'FAM89A', 'CCNF', 'HSPB2', 'PTPRJ', 'LFNG', 'SPRED3', 'DOCK11', 'C20ORF203', 'CCND2', 'STK32A', 'TMSB10', 'TEAD3', 'SAMD11', 'CALN1', 'IZUMO4', 'KCND3', 'CIRBP', 'MMD2', 'IL17RB', 'TNFRSF1A', 'CLDN4', 'VGF', 'HKDC1', 'SERPING1', 'KCNQ4', 'MAPRE2', 'CRYAB', 'SHANK2', 'LAMA5', 'NOTCH3', 'CEBPB', 'NUMBL', 'C3ORF70', 'SHC1', 'NLRC5', 'PLD5', 'ITPRIPL2', 'UGCG', 'NEU4', 'PDLIM2', 'MARVELD1', 'DNAJB5', 'NACC2', 'HES1', 'AMZ1', 'HES4', 'VASP', 'HSD3B7', 'EGR3', 'BDNF', 'ABCA3', 'EPHX1', 'KCNJ14', 'AHNAK2', 'ATP2B4', 'C1ORF61', 'NAP1L5', 'VASN', 'EFNA1', 'NR4A1', 'BCL6', 'FXYD3', 'FASN', 'SHKBP1', 'BHLHE40', 'TCAP', 'PNPLA6', 'PTPN7', 'HSPA1A']",0.0882893576330155,0,0,75,"ZNF148",0.0882893576330155,0.000465342261636298,0.159527937855512,NA,NA,NA,0.516519544165133,0.829749983830948,0.668050366211779,0.899312151220191,NA,0.846014702740339
"MZF1 (human)",0.00417809722029527,1.44243955250812,7.90153868210895,"['PCSK1', 'STEAP3', 'IRS1', 'FAM89A', 'ELK3', 'LFNG', 'ENDOU', 'ZNF608', 'CCND2', 'ADAMTS1', 'CHEK2', 'EPHB1', 'YWHAG', 'CALN1', 'STARD3', 'HES6', 'EBF1', 'MMD2', 'PSG8', 'VGF', 'SERPING1', 'MYH9', 'CHI3L1', 'TRIB1', 'CRYAB', 'ISYNA1', 'NXPH3', 'CHRNA4', 'IGSF1', 'TMPRSS3', 'ATL2', 'PRKX', 'AEBP1', 'NEU4', 'PDLIM2', 'PTCHD1', 'DNAJB5', 'CDH23', 'MAL2', 'RPRML', 'CD58', 'PCDH1', 'RXRG', 'CD99', 'HES4', 'TRPM4', 'VASP', 'SEMA4A', 'EGR1', 'AADAT', 'PCP4L1', 'KCNJ14', 'BTBD11', 'FBXO32', 'C9ORF116', 'C1ORF61', 'NAP1L5', 'PNRC1', 'VASN', 'PML', 'AIF1L', 'VEGFA', 'GFAP', 'EFNA1', 'SHKBP1', 'LYPD6B', 'PDCD4', 'TAB2', 'PNPLA6', 'PTPN7']",0.111546218805609,0,0,70,"MZF1",0.111546218805609,0.00720965266350977,0.0398551650920993,NA,NA,NA,0.784138065588839,0.910304602693162,NA,NA,NA,NA
"NFE2 (human)",0.00421652373491995,1.32873905755262,7.26653408061926,"['PNMT', 'C8ORF48', 'WIPF1', 'GNPTAB', 'RASSF3', 'C7ORF31', 'C1RL', 'EPHB1', 'HES6', 'ST6GAL2', 'SP110', 'ACTN1', 'IFRD1', 'SHISA5', 'PSG8', 'TPST1', 'RNF125', 'DAAM2', 'KCNQ4', 'NUPR1', 'PFKFB2', 'SLC22A3', 'ISYNA1', 'HPN', 'PLD5', 'AEBP1', 'SLC5A3', 'NDRG1', 'ITPRIPL2', 'SOCS3', 'HMBOX1', 'NEU4', 'BAG3', 'SLC19A3', 'USP51', 'TRPM4', 'VASP', 'EGR1', 'XBP1', 'HTR1E', 'TDRD9', 'ARHGAP29', 'NMI', 'FBXO32', 'VASN', 'AIF1L', 'EFNA1', 'NR4A1', 'BMP1', 'ANKRD20A4', 'FASN', 'LYPD6B', 'BHLHE40', 'C6ORF118', 'MYD88', 'GPR19', 'PLEKHF1', 'C2CD2', 'NRARP', 'SLC2A4', 'HK2', 'LFNG', 'SPRED3', 'ENOSF1', 'C16ORF74', 'YWHAG', 'RSPO4', 'TEAD3', 'KCND3', 'BGN', 'OSMR', 'MRPS6', 'SLC39A14', 'F3', 'SMC1B', 'SLCO1C1', 'BACE2', 'ITPKC', 'PTP4A3', 'VGF', 'PALLD', 'CHDH', 'ANGPTL2', 'HAP1', 'SHANK2', 'DNASE1L1', 'DDR2', 'ITIH4', 'LAMA5', 'CEBPB', 'PPM1M', 'SLC43A3', 'AMIGO2', 'SEZ6', 'VWCE', 'CYP3A7', 'TCEAL7', 'MUC1', 'PDLIM2', 'CD59', 'METTL7B', 'BEND7', 'PCDH1', 'SEMA4A', 'HSD3B7', 'YTHDF1', 'EGF', 'WNT7B', 'AHNAK2', 'PLEKHA6', 'TBX6', 'C9ORF116', 'GCK', 'PML', 'VEGFA', 'TTLL6', 'SHKBP1', 'TCAP', 'PNPLA6', 'HSPA1B']",0.111546218805609,0,0,120,"NFE2",0.111546218805609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARID3A (mouse)",0.0050322897669177,1.43292297291403,7.5828566746739,"['CLIC4', 'ACSM3', 'PROS1', 'CCNF', 'PIK3CD', 'FRAT2', 'DACH1', 'LRRTM4', 'NFKBIZ', 'C1RL', 'GNRHR', 'TNR', 'STK32A', 'HSP90AA1', 'SP110', 'CIRBP', 'SLC39A11', 'THNSL1', 'SYTL4', 'MRPS6', 'SMC1B', 'TMPRSS11D', 'ADCYAP1', 'BCAM', 'PSRC1', 'SLC9A7', 'LRRC7', 'LRRC9', 'HAP1', 'MAPRE2', 'L3MBTL4', 'PDZRN4', 'GRID2IP', 'KANK2', 'MAOB', 'SLC43A3', 'HAAO', 'IGSF1', 'ATP1A4', 'TNFRSF11B', 'ALOX12', 'VWCE', 'GRAMD4', 'JAKMIP3', 'NT5E', 'NKAIN3', 'RASD1', 'TRIM47', 'FSD2', 'RXRG', 'BCL2L14', 'RAI2', 'MAP2K6', 'EGR1', 'UBE2B', 'GADD45A', 'LIMK2', 'EPHX1', 'ADAM33', 'NFATC2', 'NFATC1', 'KLF2', 'DNAJA1', 'EFNA1', 'SHKBP1', 'TSPAN18', 'GNRH1', 'FILIP1', 'SLC25A35']",0.122033026847754,0,0,69,"ARID3A",0.122033026847754,0.0176129623655248,0.0150017781596001,0.814762974912065,0.811987989903964,0.424334680192292,0.0428955943245001,0.0336891826780022,NA,NA,NA,NA
"MYOG (mouse)",0.00558409567296933,1.43671679197995,7.45344646937988,"['ABCD4', 'IFITM3', 'ERCC6L', 'FAM107A', 'CXCL17', 'SAT1', 'SPRED3', 'DOCK11', 'UBASH3B', 'SPR', 'SESN1', 'ENC1', 'MAEL', 'KIF21B', 'PDE8B', 'TMSB10', 'HS3ST3B1', 'PAQR6', 'DST', 'KCND3', 'IL1R1', 'GAB1', 'SLC39A11', 'EBF1', 'FAM118A', 'MMD2', 'PDZK1', 'HIST2H2BE', 'TNFRSF1A', 'PROCR', 'TPST1', 'FNDC4', 'CCDC151', 'L3MBTL4', 'EPHA2', 'PFKFB2', 'PON3', 'SEZ6', 'SLC1A2', 'IER5L', 'HSD17B6', 'PDLIM2', 'RASD1', 'NACC2', 'GSG1L', 'AMZ1', 'SLC19A2', 'GABRA2', 'SEMA4A', 'HHATL', 'HSD3B7', 'BTBD17', 'PCP4L1', 'ABCA3', 'DDIT4L', 'NFATC2', 'AIF1L', 'MGAT4C', 'BMP1', 'CAMK4', 'IFT27', 'TCAP', 'TMCC2', 'LTBR', 'PLP2', 'FGFR3']",0.124997833910314,0,0,66,"MYOG",0.124997833910314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stat3 (mouse)",0.0116278872392507,1.40699813934257,6.26726074608934,"['CNTNAP3', 'STEAP3', 'CAB39L', 'WIPF1', 'FAM107A', 'PIK3CD', 'NRARP', 'IL1RAP', 'TMEM140', 'LMNB1', 'RGS4', 'RBM3', 'GRM3', 'DACH1', 'MAP3K6', 'PDE8B', 'ST6GAL1', 'TLE2', 'DST', 'HGF', 'MYH15', 'IL18', 'ABCC9', 'CYP39A1', 'PLSCR1', 'VSNL1', 'PARD3', 'S100A6', 'KIFC3', 'DSC1', 'PFKFB2', 'CALCRL', 'PON1', 'WDR64', 'NOD1', 'SNX31', 'UGCG', 'SOCS3', 'NKAIN3', 'PLN', 'RXRG', 'BCL2L14', 'HSD3B7', 'SLC14A2', 'BDNF', 'NEK5', 'ST8SIA1', 'DENND4A', 'ABCA3', 'ESRRB', 'HMGA2', 'ARID3A', 'GFAP', 'BCL6', 'ID2', 'PDCD4', 'PSMG4', 'MYD88', 'GPR19']",0.241693941901569,0,0,59,"Stat3",0.241693941901569,5.78344348564237e-05,0.036459560771767,0.973535436716491,0.974228511488656,-0.0453072132708192,0.851698669127096,0.917837559672277,0.485221182377541,0.760418850715161,NA,0.796954504789944
"NR5A2 (human)",0.0137731465407206,1.23678219431836,5.29965435357534,"['STEAP3', 'CSF1', 'TFRC', 'WIPF1', 'PLOD3', 'CIB2', 'IL1RAP', 'RGS4', 'LGALS3', 'HELB', 'PAMR1', 'EPHB1', 'IL13RA1', 'EPM2A', 'STARD3', 'HES6', 'ST6GAL1', 'TLE2', 'ATP6V1G2', 'SP110', 'FBXO2', 'FRMD4A', 'KCTD3', 'SYTL4', 'OVOL2', 'ACAP1', 'RNF125', 'ADAM12', 'NUPR1', 'RIN2', 'PFKFB2', 'SLC22A3', 'SLC22A6', 'CASZ1', 'ISYNA1', 'MAOB', 'UAP1', 'FUT2', 'NID1', 'UGCG', 'SOCS3', 'NUAK2', 'PRKAR2B', 'NACC2', 'CNTNAP3B', 'RRS1', 'SLC19A3', 'FAM43B', 'NPTX2', 'CD99', 'VASP', 'BARD1', 'HHATL', 'RASL10A', 'ST8SIA1', 'BTBD18', 'ESRRB', 'FZD9', 'SMAD9', 'CDC7', 'FBXO32', 'GFAP', 'SMTN', 'DIAPH3', 'BCL6', 'LYPD6B', 'IFT27', 'PSMG4', 'RADIL', 'FGFR3', 'ZNF257', 'MYD88', 'CNTNAP3', 'SFTA3', 'SYNM', 'DYRK3', 'CLIC4', 'PLEKHF1', 'NRARP', 'DBI', 'C12ORF42', 'PIK3C2A', 'ABCC11', 'LMNB1', 'LFNG', 'RBM3', 'GLIPR1', 'C20ORF203', 'C1QTNF7', 'GLIPR2', 'A4GALT', 'YWHAG', 'RSPO4', 'YWHAH', 'SERPINB1', 'SLC39A11', 'NRG1', 'TMC7', 'ANO6', 'EMP3', 'IL17RB', 'FCHSD1', 'PTP4A3', 'CEACAM1', 'PLSCR1', 'VGF', 'PALLD', 'PLSCR4', 'MYH9', 'SHANK2', 'CD44', 'ITIH4', 'PON3', 'OAT', 'C1R', 'TMPRSS3', 'PON1', 'SEZ6', 'NLRC5', 'IER5L', 'PRKX', 'ATP2C2', 'SAMHD1', 'GRAMD4', 'CYP3A7', 'TCEAL7', 'CLMP', 'PDLIM2', 'TP53INP2', 'CAMK2N2', 'ATOH8', 'RXRG', 'HSD3B7', 'F11', 'KCNJ14', 'ATP2B4', 'TBX6', 'GCK', 'KLF2', 'RAB11A', 'PML', 'DNAJA1', 'FAM167A', 'KLF6', 'TTLL4', 'TSPAN18', 'PNPLA3', 'CD9', 'TCAP', 'FAS', 'PNPLA6', 'PI16', 'PLP2', 'PTPN7', 'HSPA1B', 'SLC25A35']",0.267199042889979,0,0,156,"NR5A2",0.267199042889979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETS2 (human)",0.0162008375689394,1.36831318444691,5.64113427916917,"['PCSK1', 'CRTC2', 'STEAP3', 'ACSM3', 'PIK3CD', 'C12ORF40', 'DBI', 'IL1RAP', 'ABCC11', 'HK2', 'RGS4', 'ZNF608', 'ADAMTS1', 'FAM186A', 'MAEL', 'GNRHR', 'RSPO3', 'EYS', 'IL13RA1', 'TMPRSS11A', 'ST6GAL1', 'TSTD1', 'GAB1', 'EBF1', 'MMD2', 'KCNAB1', 'KCTD3', 'PARP9', 'ETV6', 'TXNIP', 'PON3', 'CALCRL', 'HS3ST3A1', 'STX19', 'C17ORF58', 'GMPR', 'TIMM10', 'BAG3', 'MARVELD1', 'DNAJB5', 'CD59', 'BEND7', 'CACNG2', 'CCR10', 'HTR1E', 'ARHGAP29', 'IFI44', 'PYCR1', 'CDC7', 'GPN1', 'C1ORF61', 'NAP1L5', 'VEGFA', 'DIAPH3', 'BCL6', 'TNIP2', 'ID2', 'APOC1', 'FAS', 'CBLN4', 'HSPA1B', 'BEX5']",0.294652733285086,0,0,62,"ETS2",0.294652733285086,0.326287171386462,0.017426170150417,0.651554523033595,0.646358221237815,0.898267460587021,0.537145047126302,0.515315677699319,NA,NA,NA,NA
"LTF (human)",0.0187637376677703,1.34976208290793,5.36642339325391,"['CSF1', 'DBI', 'ABCC11', 'SYNE2', 'LMNB1', 'SPRED3', 'AKAP10', 'RASGEF1A', 'RASSF3', 'LIPH', 'RSPO4', 'TOP3B', 'STARD3', 'ST6GAL2', 'SP110', 'FBXO2', 'RGMB', 'SLC39A14', 'TNFRSF1A', 'PROCR', 'ITPKC', 'RBP4', 'VGF', 'PPP1R3C', 'CHI3L1', 'CCDC151', 'PFKFB2', 'KANK2', 'COX19', 'SLC22A3', 'NOTCH3', 'CD151', 'SLC43A3', 'CFI', 'SEZ6', 'AEBP1', 'NDRG1', 'SNX31', 'ITPRIPL2', 'ZNRF2', 'MUC1', 'WIF1', 'AGMO', 'ARSF', 'CD59', 'BANP', 'BARD1', 'SLC14A2', 'C5ORF34', 'KCNJ14', 'GPN1', 'GCK', 'PML', 'AIF1L', 'PSMB9', 'ACER2', 'DNAJA1', 'EFNA1', 'KLF6', 'ANKRD20A4', 'TNIP2', 'AGBL3', 'BHLHE40', 'PNPLA6']",0.321191038901244,0,0,64,"LTF",0.321191038901244,NA,NA,NA,NA,NA,NA,NA,0.201249390149889,0.809200500300786,NA,0.411923148133856
"SND1 (human)",0.0215248994678137,1.31690721049928,5.05500745553442,"['SNAP25', 'C8ORF48', 'ITPRIP', 'PLEKHF1', 'CSF1', 'C2CD2', 'CCNF', 'NRARP', 'SLC2A4', 'ABCC11', 'ELK3', 'LIPH', 'NFKBIZ', 'ENPP3', 'HIST1H2AC', 'STARD3', 'ACTN1', 'IL18', 'ABCC9', 'PARP9', 'SLC39A14', 'F3', 'HIST2H2BE', 'OVOL2', 'TMPRSS11D', 'ADCYAP1', 'FNDC4', 'INCENP', 'IRF7', 'CHI3L1', 'RIN2', 'FREM1', 'MAPRE2', 'HIST1H2BD', 'FKBP5', 'KANK2', 'SLC22A6', 'SHC1', 'HAAO', 'WDR64', 'TMTC1', 'NOD1', 'GRAMD4', 'AXDND1', 'SNX31', 'PTCHD1', 'ERI2', 'TP53INP2', 'PLCG2', 'PCDH1', 'CACNG2', 'RHBDL2', 'HES4', 'TRIM45', 'XBP1', 'BDNF', 'EGF', 'GINS3', 'PCDHGC3', 'ORMDL1', 'NFATC1', 'SPDYE6', 'VEGFA', 'NFKB2', 'MGAT4C', 'EFNA1', 'NR4A1', 'COL5A1', 'FASN', 'BHLHE40', 'RADIL', 'PNPLA6']",0.324887395000328,0,0,72,"SND1",0.324887395000328,0.000683250278596072,0.0329428424563964,NA,NA,NA,0.514695857635896,0.277271081958852,0.740094102048453,0.850003844920546,NA,0.992979544086396
