"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"YY1 (mouse)",0.000162166090680169,1.89034369885434,16.496820570932,"['PANK4', 'NDUFA13', 'RPL3', 'RPL32', 'WIPF1', 'POP4', 'RPL10A', 'HDDC3', 'RPL7', 'CDC14B', 'RPS15', 'RPL7A', 'SUMO1', 'HMGN2', 'RPS10', 'PLEKHG3', 'HSP90AA1', 'ENDOG', 'SSR4', 'ATP6AP1', 'ENTPD5', 'RPL13A', 'NDUFC1', 'MRPL47', 'DUSP28', 'RGMB', 'MRPL46', 'RUNX1', 'GORASP1', 'RPP21', 'RPL26', 'CUTA', 'NDUFB7', 'NDUFB11', 'NDUFB2', 'COPS7A', 'MRPL14', 'COX5B', 'UQCRH', 'USP19', 'TSPAN31', 'SRM', 'EFNB3', 'RPL14', 'TMEM208', 'PCBD1', 'RPL15', 'APOE', 'GADD45GIP1', 'RANBP1', 'FIS1', 'PPP1R14A', 'SURF1', 'SNAPIN', 'NDUFA6', 'LRRC29', 'H3F3B', 'ST8SIA2', 'TMEM132A', 'RPL35A', 'BTBD6', 'KRT10', 'NSG1', 'TPD52L1', 'CORO2B', 'DRAP1', 'SPSB3', 'RPS25', 'RPS28', 'LSM7', 'RPL27A', 'PSMG3', 'RUNDC1', 'PTPN9', 'STUB1', 'FAU', 'INHA']",0.0467038341158887,0,0,77,"YY1",0.0467038341158887,0.0397687432847981,0.0770904245968357,NA,NA,NA,0.593077526429124,0.55039217529829,0.6233827343592,0.913749535334991,NA,0.979809304931412
"PITX1 (human)",0.000531185973050546,1.87624126016813,14.1476065329668,"['IFITM3', 'COX7B', 'DBR1', 'RPL3', 'UBXN1', 'RPL6', 'MED11', 'HHAT', 'SUMO1', 'KAT5', 'CASP6', 'LRRTM4', 'OPA3', 'SPDYE2', 'RPL35', 'TMED2', 'ACP2', 'CTSF', 'ATP6V1E1', 'RPS10', 'RPL39', 'SEPHS2', 'ST6GAL1', 'GPX4', 'ATP6AP1', 'DHPS', 'TINF2', 'NME2', 'HAUS4', 'WDR34', 'COX6B1', 'UFC1', 'RPL24', 'RPL27', 'RPL29', 'OTUB1', 'ARL9', 'SET', 'RPL11', 'COX7A2', 'TMEM160', 'RPAP1', 'RPS15A', 'PHKG1', 'RPL14', 'RPL13', 'RPL17', 'GADD45GIP1', 'PPP1R14A', 'SNAPIN', 'TAF13', 'CDKN2A', 'GSS', 'OCEL1', 'RPS26', 'BCKDK', 'RPS27', 'NMNAT1', 'LPCAT2', 'PPT1', 'NAA16', 'GTF2IRD1', 'FAU', 'RPS24', 'GRINA']",0.0764907801192787,0,0,65,"PITX1",0.0764907801192787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREB1 (human)",0.000894633445901231,1.55792269745758,10.935209723758,"['POP5', 'NDUFA13', 'CHPF', 'WIPF1', 'PARK7', 'RPL8', 'RPL9', 'TM7SF2', 'CDC14B', 'RPS15', 'EEF1B2', 'RPS14', 'CHCHD2', 'RPL37', 'RPS10', 'RPL39', 'FAM81A', 'SEPHS2', 'RPS13', 'PHLDA3', 'EPHB3', 'RPS9', 'GABARAPL1', 'ST6GAL1', 'ATP6V1G1', 'CXADR', 'RPL21', 'USP5', 'RUNX1', 'TMEM134', 'SFRP1', 'ASPHD1', 'NHP2', 'RPL24', 'HECA', 'ROR2', 'CUTA', 'UQCRB', 'SEZ6L2', 'RPAP1', 'PLD1', 'MCHR1', 'UQCRH', 'GABARAP', 'ANAPC11', 'RDH14', 'ATP6V1F', 'NTNG1', 'RPL41', 'ST8SIA2', 'TMEM132A', 'TBCC', 'LSM5', 'OCEL1', 'RPS27', 'MC1R', 'RNF103', 'COL5A1', 'UQCRQ', 'UBE2S', 'LHX2', 'PSMG3', 'C8ORF33', 'TMEM9B', 'MAGT1', 'SNAPC5', 'ANKRD9', 'MAP1LC3A', 'OPA3', 'RPLP2', 'SLC22A10', 'GPX4', 'VBP1', 'SLC39A11', 'NDUFC1', 'HAX1', 'VGF', 'NDUFS5', 'UFC1', 'TSEN34', 'PCNA', 'RPL12', 'UQCR11', 'TSPAN31', 'PURB', 'PARD6A', 'CAMK2N2', 'ABI3BP', 'CD59', 'PCBD1', 'DCAF11', 'RPL18', 'POLR2I', 'HES4', 'GADD45GIP1', 'RANBP1', 'SF3A1', 'LRRC29', 'CDKN2A', 'KRT10', 'HTR5A', 'ATOX1', 'SMOC2', 'KBTBD4', 'MAPK11', 'SPCS1', 'SST', 'ASXL3', 'APEX1', 'C18ORF32', 'NAA16', 'CCDC65', 'VIP', 'EIF3D', 'CENPQ', 'PFKM']",0.0858848108065182,0,0,116,"CREB1",0.0858848108065182,0.31230072257686,0.00891388896606653,NA,NA,NA,0.22668448698609,0.87502209826333,0.347169342748563,0.747950401575455,NA,0.529142979951732
"PLAU (human)",0.00579217439844533,1.63228779018253,8.4083184215114,"['POP5', 'COX7B', 'RPL3', 'CHPF', 'DIRAS1', 'RPL9', 'BACH2', 'CNDP2', 'CDC14B', 'RPS14', 'CHCHD2', 'TMEM147', 'MAP1LC3A', 'OPA3', 'RPLP2', 'RPS9', 'GABARAPL1', 'ST6GAL1', 'ATP6V1G1', 'RPL21', 'RPS3A', 'AMPD3', 'VGF', 'ASPHD1', 'CRH', 'HECA', 'RPP25', 'CUTA', 'UQCRB', 'DCUN1D3', 'NDUFB2', 'RNF7', 'SEZ6L2', 'TSPAN31', 'PURB', 'RIC8A', 'PARD6A', 'RPL13', 'RPL18', 'HES4', 'RANBP1', 'RPL41', 'RPH3AL', 'SF3A1', 'CDKN2A', 'ST8SIA2', 'CCK', 'CWC15', 'OCEL1', 'RPS27', 'NMNAT1', 'RPS29', 'UBE2S', 'SST', 'ASXL3', 'APEX1', 'IMPDH2', 'C18ORF32', 'CYCS', 'INHA', 'CENPQ']",0.303273806862021,0,0,61,"PLAU",0.303273806862021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYC (mouse)",0.00690968477339468,1.54308943089431,7.67660953955399,"['RPL30', 'RPLP1', 'DIRAS1', 'MAGT1', 'FGF1', 'SRP14', 'CLGN', 'ANKRD9', 'DUSP12', 'MRPL40', 'RPS19', 'PIM1', 'RPLP2', 'CTSF', 'SLC39A7', 'SEC62', 'RPS12', 'ATP6V1G1', 'SSR4', 'H2AFZ', 'SSR2', 'NME2', 'RPL13A', 'RPSA', 'AMPD3', 'CORT', 'DPM2', 'VGF', 'TMEM126A', 'PCYOX1', 'BEX4', 'CUTA', 'SET', 'ODC1', 'COPS7A', 'UQCR11', 'OAZ1', 'PSMB10', 'SRM', 'CPLX3', 'TCEAL6', 'LDHA', 'RBM15B', 'PHKG1', 'DDT', 'CCDC85B', 'RPL14', 'TAF9B', 'SNX8', 'GABRD', 'SERF2', 'SURF1', 'NDUFA7', 'CADM4', 'SURF2', 'NEK6', 'BTBD6', 'MANBAL', 'MANF', 'SPSB3', 'RPS28', 'UQCRQ', 'ASXL3', 'APEX1', 'PTPN9', 'BAX', 'STUB1', 'CBLN4', 'TOMM5', 'FGFR2', 'EIF4G2', 'RPS23', 'PPIL6']",0.303273806862021,0,0,73,"MYC",0.303273806862021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RARA (human)",0.00725650798171333,1.60526315789474,7.90729605702613,"['DAZAP2', 'POP5', 'RPL3', 'RPLP0', 'MYL6B', 'MAGT1', 'MEA1', 'RPL8', 'RPL10A', 'RPL9', 'USE1', 'RPS15', 'MED11', 'RPL18A', 'RPS19', 'KAT5', 'MED10', 'ACP2', 'CTSF', 'MDP1', 'RPS10', 'RPS12', 'GABARAPL1', 'GPX4', 'COX6B1', 'CORT', 'DPM2', 'RCN1', 'SFRP1', 'HAP1', 'RBMS2', 'OTUB1', 'SET', 'AHNAK', 'WBP2', 'VPS4A', 'TIMM10', 'RPAP1', 'OAZ1', 'PHKG1', 'RPL13', 'SERF2', 'RPL19', 'ATP6V1F', 'OST4', 'NDUFA6', 'CDKN2A', 'VEGFB', 'LSM5', 'RPS26', 'RPS25', 'LSM7', 'LYRM2', 'RPS27', 'MC1R', 'PIK3IP1', 'IMPDH2', 'CYCS', 'RPS21', 'CENPQ', 'RPS24']",0.303273806862021,0,0,61,"RARA",0.303273806862021,0.166728055278675,0.610736321743469,NA,NA,NA,0.785090243992105,0.611752255823243,NA,NA,NA,NA
"TP53 (mouse)",0.00775426443955175,1.6492687123602,8.01464165422181,"['HRK', 'RPL30', 'UBXN1', 'THYN1', 'RPL9', 'CNDP2', 'TOMM22', 'RPS15', 'RPS19', 'RPS18', 'CCDC97', 'ACP2', 'PIM3', 'ATP6V1E1', 'RPS9', 'ENDOG', 'RPS5', 'DHPS', 'PCDHGA1', 'TEX15', 'SYNGR3', 'RPL37A', 'CDHR2', 'RPL27', 'RPL26', 'RBMS2', 'SRSF9', 'NDUFB9', 'SET', 'RPAP1', 'COX7A1', 'PET117', 'PSMB6', 'CKMT2', 'PARD6A', 'NRIP2', 'RPS2', 'SERF2', 'TAF13', 'RPL35A', 'ATOX1', 'RPS26', 'PSMC5', 'LYRM2', 'MC1R', 'TMEM115', 'NMNAT1', 'R3HCC1', 'CCNG1', 'TOMM7', 'BAX', 'NAA16', 'RPS24', 'GRINA']",0.303273806862021,0,0,54,"TP53",0.303273806862021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2D (human)",0.00842427241283392,1.60064618698395,7.6457076685585,"['DAZAP2', 'UBXN1', 'COX4I1', 'CISD2', 'RPL8', 'FGF1', 'SRP14', 'RPL9', 'TMEM141', 'SNAPC5', 'RPS14', 'MED11', 'NUDCD2', 'RPL18A', 'C19ORF53', 'SEC61G', 'RPL38', 'ATP6V1E1', 'SEPHS2', 'RPS12', 'ST6GAL1', 'GPX4', 'RPS7', 'RPL23', 'ENTPD5', 'SSR2', 'HAUS4', 'AIP', 'MRPL47', 'AMPD3', 'TMEM134', 'TMEM126A', 'UFC1', 'SET', 'PCNA', 'WBP2', 'VPS4A', 'COX7A1', 'LAGE3', 'RPL13', 'SERF2', 'ATP6V1F', 'SNAPIN', 'MDH2', 'NDUFA1', 'LSM5', 'CORO2B', 'OCEL1', 'RPS25', 'DBNDD2', 'RPS27', 'PIK3IP1', 'NFIA', 'NMNAT1', 'PPT1', 'BAX', 'GTF2IRD1', 'CENPQ', 'GRINA']",0.303273806862021,0,0,59,"TFAP2D",0.303273806862021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRF1 (mouse)",0.0112756396032826,1.50991334997797,6.77212847319594,"['IFITM3', 'RPL30', 'COX7B', 'NDUFA13', 'DBR1', 'CD81', 'COX4I1', 'ZFAND2A', 'SAT2', 'PARK7', 'MEA1', 'RPL8', 'COX7C', 'CLGN', 'TOMM22', 'RPS15', 'RPS14', 'RPS16', 'RPS19', 'RPL35', 'RPL38', 'PIM3', 'RPS10', 'CHCHD1', 'RPS9', 'ATP6V1G1', 'RPL21', 'SSR4', 'RPS8', 'PCDHGA1', 'RPSA', 'IMP4', 'COX6B1', 'MRTO4', 'NHP2', 'RPL27', 'SRSF9', 'POMP', 'MRPL17', 'COX7A2', 'ATXN7L3B', 'COX5B', 'PET117', 'PSMB6', 'LDHA', 'PARD6A', 'PCBD1', 'RPS2', 'DCAF11', 'BTF3', 'TIMM8B', 'FANCI', 'GABBR1', 'NDUFA6', 'GSS', 'RPL23A', 'COX6C', 'RPS25', 'RPS28', 'LSM7', 'LYRM2', 'SPCS1', 'RNF103', 'UBE2S', 'NAA16', 'RPS21', 'TOMM5', 'RPS24', 'RPS23']",0.360820467305044,0,0,69,"NRF1",0.360820467305044,3.00037733708396e-05,0.121783865573205,NA,NA,NA,0.399691895689708,0.951789520255054,NA,NA,NA,NA
"VDR (human)",0.0141656096085168,9.84457478005865,41.9077455616503,"['RPS25', 'KAT5', 'RPS19BP1', 'PCP4L1', 'NRIP2', 'CYP3A5']",0.361601605196913,0,0,6,"VDR",0.361601605196913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2A (human)",0.0148916099953703,1.33872494003213,5.63195867547005,"['PANK4', 'NDUFA13', 'RPL3', 'CHPF', 'RPL8', 'RPL7', 'RPS15', 'KRTCAP2', 'RPS16', 'PART1', 'RPL38', 'PIM3', 'RPS10', 'TRAPPC2L', 'NFKBIL1', 'RPSA', 'RUNX1', 'DPM2', 'CCNE1', 'DKC1', 'ASPHD1', 'CD2BP2', 'HECA', 'PHPT1', 'RPP25', 'SCG2', 'NECAB2', 'CUTA', 'C11ORF95', 'NDUFB10', 'NDUFB11', 'PCDH10', 'KLHL17', 'MRPL17', 'MRPL14', 'SEZ6L2', 'UQCRH', 'GABARAP', 'ANAPC11', 'C12ORF57', 'SCUBE2', 'LDHA', 'APOE', 'NPTX1', 'SERF2', 'FANCI', 'WWTR1', 'CADM4', 'ST8SIA2', 'NEK6', 'TMEM132A', 'NR2F2', 'BTBD6', 'DNAJC14', 'CORO2B', 'MRPL21', 'DRAP1', 'RPS25', 'MC1R', 'CDK6', 'COL5A1', 'LHX2', 'C8ORF33', 'FGFR2', 'EIF4G2', 'HRK', 'UBXN1', 'USE1', 'HAPLN1', 'AP4M1', 'ANKRD9', 'MRPL40', 'RASGEF1C', 'TOP1MT', 'DUSP4', 'SLC32A1', 'GPX4', 'SLC39A11', 'NME2', 'DUSP28', 'C4ORF48', 'SYNGR3', 'LRRC42', 'GNL3', 'ARL4C', 'MMP16', 'VGF', 'CDHR2', 'KIT', 'RBM20', 'SGK1', 'OTUB1', 'TSEN34', 'LRRC14', 'SAMD5', 'STOML2', 'RPL10', 'GMPR2', 'PELI3', 'DCTN3', 'MRPS34', 'ODC1', 'TIMM13', 'UQCR11', 'SRM', 'DDT', 'CCDC85B', 'CAMK2N2', 'HES4', 'POLR2L', 'RANBP1', 'RPH3AL', 'LRRC29', 'MDH2', 'CDKN2A', 'VEGFB', 'MERTK', 'SPSB3', 'MAPK11', 'LYRM2', 'DBNDD2', 'TACC3', 'STUB1', 'ZNF853', 'INHA', 'PFKM', 'LNX2']",0.361601605196913,0,0,127,"TFAP2A",0.361601605196913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
